"","size","group","precision","target"
"1",100,"A",5.17288320174244,"AHCY"
"2",90,"A",5.74712643678161,"AHCY"
"3",80,"A",6.43294758339006,"AHCY"
"4",70,"A",7.3512252042007,"AHCY"
"5",60,"A",8.57531760435572,"AHCY"
"6",50,"A",10.2941176470588,"AHCY"
"7",40,"A",12.6616746085773,"AHCY"
"8",30,"A",16.4246823956443,"AHCY"
"9",20,"A",23.8095238095238,"AHCY"
"10",10,"A",44.4141689373297,"AHCY"
"11",9,"A",48.7878787878788,"AHCY"
"12",8,"A",54.7619047619048,"AHCY"
"13",7,"A",62.2568093385214,"AHCY"
"14",6,"A",66.8181818181818,"AHCY"
"15",5,"A",67.9347826086957,"AHCY"
"16",4,"A",68.0272108843537,"AHCY"
"17",3,"A",63.6363636363636,"AHCY"
"18",2,"A",78.0821917808219,"AHCY"
"19",1,"A",67.5675675675676,"AHCY"
"20",0.9,"A",63.6363636363636,"AHCY"
"21",0.8,"A",60,"AHCY"
"22",0.7,"A",69.2307692307692,"AHCY"
"23",0.6,"A",68.1818181818182,"AHCY"
"24",0.5,"A",61.1111111111111,"AHCY"
"25",0.4,"A",53.3333333333333,"AHCY"
"26",0.3,"A",36.3636363636364,"AHCY"
"27",0.2,"A",0,"AHCY"
"28",0.1,"A",0,"AHCY"
"29",100,"S",5.17288320174244,"AHCY"
"30",90,"S",5.65638233514822,"AHCY"
"31",80,"S",5.17358747447243,"AHCY"
"32",70,"S",5.71761960326721,"AHCY"
"33",60,"S",5.49001814882033,"AHCY"
"34",50,"S",6.37254901960784,"AHCY"
"35",40,"S",7.28386657590197,"AHCY"
"36",30,"S",9.43738656987296,"AHCY"
"37",20,"S",13.469387755102,"AHCY"
"38",10,"S",15.8038147138965,"AHCY"
"39",9,"S",17.5757575757576,"AHCY"
"40",8,"S",19.7278911564626,"AHCY"
"41",7,"S",22.568093385214,"AHCY"
"42",6,"S",25.9090909090909,"AHCY"
"43",5,"S",28.2608695652174,"AHCY"
"44",4,"S",26.530612244898,"AHCY"
"45",3,"S",30.9090909090909,"AHCY"
"46",2,"S",46.5753424657534,"AHCY"
"47",1,"S",24.3243243243243,"AHCY"
"48",0.9,"S",15.1515151515152,"AHCY"
"49",0.8,"S",6.66666666666667,"AHCY"
"50",0.7,"S",0,"AHCY"
"51",0.6,"S",0,"AHCY"
"52",0.5,"S",0,"AHCY"
"53",0.4,"S",0,"AHCY"
"54",0.3,"S",0,"AHCY"
"55",0.2,"S",0,"AHCY"
"56",0.1,"S",0,"AHCY"
"57",5,"RF5_xi",28.2608695652174,"AHCY"
"58",4,"RF5_xi",35.3741496598639,"AHCY"
"59",3,"RF5_xi",47.2727272727273,"AHCY"
"60",2,"RF5_xi",67.5675675675676,"AHCY"
"61",1,"RF5_xi",78.3783783783784,"AHCY"
"62",0.9,"RF5_xi",84.8484848484848,"AHCY"
"63",0.8,"RF5_xi",90,"AHCY"
"64",0.7,"RF5_xi",92.3076923076923,"AHCY"
"65",0.6,"RF5_xi",100,"AHCY"
"66",0.5,"RF5_xi",100,"AHCY"
"67",0.4,"RF5_xi",100,"AHCY"
"68",0.3,"RF5_xi",100,"AHCY"
"69",0.2,"RF5_xi",100,"AHCY"
"70",0.1,"RF5_xi",100,"AHCY"
"71",5,"RF5_xiii",28.2608695652174,"AHCY"
"72",4,"RF5_xiii",35.3741496598639,"AHCY"
"73",3,"RF5_xiii",46.3636363636364,"AHCY"
"74",2,"RF5_xiii",58.1081081081081,"AHCY"
"75",1,"RF5_xiii",75.6756756756757,"AHCY"
"76",0.9,"RF5_xiii",75.7575757575758,"AHCY"
"77",0.8,"RF5_xiii",76.6666666666667,"AHCY"
"78",0.7,"RF5_xiii",73.0769230769231,"AHCY"
