"","size","group","precision","target"
"1",100,"A",3.48086522462562,"AR"
"2",90,"A",3.80121283833752,"AR"
"3",80,"A",4.14309484193012,"AR"
"4",70,"A",4.62065031374786,"AR"
"5",60,"A",5.22462562396007,"AR"
"6",50,"A",5.80404685835996,"AR"
"7",40,"A",6.97171381031614,"AR"
"8",30,"A",8.6734693877551,"AR"
"9",20,"A",11.3810316139767,"AR"
"10",10,"A",17.9094540612517,"AR"
"11",9,"A",19.3786982248521,"AR"
"12",8,"A",20.8818635607321,"AR"
"13",7,"A",22.3596574690771,"AR"
"14",6,"A",25.4162042175361,"AR"
"15",5,"A",27.0306258322237,"AR"
"16",4,"A",27.9534109816972,"AR"
"17",3,"A",35.920177383592,"AR"
"18",2,"A",48,"AR"
"19",1,"A",61.3333333333333,"AR"
"20",0.9,"A",64.4444444444444,"AR"
"21",0.8,"A",70,"AR"
"22",0.7,"A",72.3809523809524,"AR"
"23",0.6,"A",72.2222222222222,"AR"
"24",0.5,"A",74.6666666666667,"AR"
"25",0.4,"A",78.3333333333333,"AR"
"26",0.3,"A",73.3333333333333,"AR"
"27",0.2,"A",76.6666666666667,"AR"
"28",0.1,"A",60,"AR"
"29",100,"S",3.48086522462562,"AR"
"30",90,"S",2.77325839372874,"AR"
"31",80,"S",2.70382695507488,"AR"
"32",70,"S",2.71914812702035,"AR"
"33",60,"S",2.79534109816972,"AR"
"34",50,"S",3.02183173588924,"AR"
"35",40,"S",3.21131447587354,"AR"
"36",30,"S",3.46051464063886,"AR"
"37",20,"S",4.25956738768719,"AR"
"38",10,"S",7.05725699067909,"AR"
"39",9,"S",6.95266272189349,"AR"
"40",8,"S",6.40599001663893,"AR"
"41",7,"S",6.85061845861085,"AR"
"42",6,"S",6.10432852386238,"AR"
"43",5,"S",6.79094540612517,"AR"
"44",4,"S",7.48752079866888,"AR"
"45",3,"S",7.31707317073171,"AR"
"46",2,"S",10.3333333333333,"AR"
"47",1,"S",18,"AR"
"48",0.9,"S",20,"AR"
"49",0.8,"S",22.5,"AR"
"50",0.7,"S",24.7619047619048,"AR"
"51",0.6,"S",20,"AR"
"52",0.5,"S",13.3333333333333,"AR"
"53",0.4,"S",13.3333333333333,"AR"
"54",0.3,"S",11.1111111111111,"AR"
"55",0.2,"S",10,"AR"
"56",0.1,"S",20,"AR"
"57",5,"RF5_xi",6.79094540612517,"AR"
"58",4,"RF5_xi",8.31946755407654,"AR"
"59",3,"RF5_xi",8.86917960088692,"AR"
"60",2,"RF5_xi",12.6666666666667,"AR"
"61",1,"RF5_xi",24,"AR"
"62",0.9,"RF5_xi",25.9259259259259,"AR"
"63",0.8,"RF5_xi",29.1666666666667,"AR"
"64",0.7,"RF5_xi",32.3809523809524,"AR"
"65",0.6,"RF5_xi",36.6666666666667,"AR"
"66",0.5,"RF5_xi",41.3333333333333,"AR"
"67",0.4,"RF5_xi",48.3333333333333,"AR"
"68",0.3,"RF5_xi",55.5555555555556,"AR"
"69",0.2,"RF5_xi",66.6666666666667,"AR"
"70",0.1,"RF5_xi",100,"AR"
"71",5,"RF5_xiii",6.79094540612517,"AR"
"72",4,"RF5_xiii",7.82029950083195,"AR"
"73",3,"RF5_xiii",8.86917960088692,"AR"
"74",2,"RF5_xiii",12.3333333333333,"AR"
"75",1,"RF5_xiii",23.3333333333333,"AR"
"76",0.9,"RF5_xiii",25.1851851851852,"AR"
"77",0.8,"RF5_xiii",27.5,"AR"
"78",0.7,"RF5_xiii",28.5714285714286,"AR"
"79",0.6,"RF5_xiii",32.2222222222222,"AR"
"80",0.5,"RF5_xiii",34.6666666666667,"AR"
"81",0.4,"RF5_xiii",36.6666666666667,"AR"
"82",0.3,"RF5_xiii",42.2222222222222,"AR"
"83",0.2,"RF5_xiii",56.6666666666667,"AR"
"84",0.1,"RF5_xiii",93.3333333333333,"AR"
"85",1,"RF1_xi",18,"AR"
"86",0.9,"RF1_xi",20,"AR"
"87",0.8,"RF1_xi",22.5,"AR"
"88",0.7,"RF1_xi",25.7142857142857,"AR"
"89",0.6,"RF1_xi",30,"AR"
"90",0.5,"RF1_xi",34.6666666666667,"AR"
"91",0.4,"RF1_xi",41.6666666666667,"AR"
"92",0.3,"RF1_xi",55.5555555555556,"AR"
"93",0.2,"RF1_xi",66.6666666666667,"AR"
"94",0.1,"RF1_xi",100,"AR"
"95",1,"RF1_xiii",18,"AR"
"96",0.9,"RF1_xiii",20,"AR"
"97",0.8,"RF1_xiii",22.5,"AR"
"98",0.7,"RF1_xiii",24.7619047619048,"AR"
"99",0.6,"RF1_xiii",28.8888888888889,"AR"
"100",0.5,"RF1_xiii",34.6666666666667,"AR"
"101",0.4,"RF1_xiii",41.6666666666667,"AR"
"102",0.3,"RF1_xiii",53.3333333333333,"AR"
"103",0.2,"RF1_xiii",60,"AR"
"104",0.1,"RF1_xiii",93.3333333333333,"AR"
"105",5,"NN5_xi",6.79094540612517,"AR"
"106",4,"NN5_xi",8.31946755407654,"AR"
"107",3,"NN5_xi",8.2039911308204,"AR"
"108",2,"NN5_xi",11.6666666666667,"AR"
"109",1,"NN5_xi",22,"AR"
"110",0.9,"NN5_xi",24.4444444444444,"AR"
"111",0.8,"NN5_xi",27.5,"AR"
"112",0.7,"NN5_xi",31.4285714285714,"AR"
"113",0.6,"NN5_xi",36.6666666666667,"AR"
"114",0.5,"NN5_xi",42.6666666666667,"AR"
"115",0.4,"NN5_xi",50,"AR"
"116",0.3,"NN5_xi",55.5555555555556,"AR"
"117",0.2,"NN5_xi",63.3333333333333,"AR"
"118",0.1,"NN5_xi",60,"AR"
"119",5,"NN5_xiii",6.79094540612517,"AR"
"120",4,"NN5_xiii",8.15307820299501,"AR"
"121",3,"NN5_xiii",8.64745011086474,"AR"
