"","size","group","precision","target"
"1",100,"A",2.74047872523095,"CDK2"
"2",90,"A",3.03735643148777,"CDK2"
"3",80,"A",3.40845675037562,"CDK2"
"4",70,"A",3.84634254035225,"CDK2"
"5",60,"A",4.36723713582508,"CDK2"
"6",50,"A",5.07554945054945,"CDK2"
"7",40,"A",5.70913461538461,"CDK2"
"8",30,"A",6.68498168498169,"CDK2"
"9",20,"A",7.91552197802198,"CDK2"
"10",10,"A",12.293956043956,"CDK2"
"11",9,"A",13.0103014116749,"CDK2"
"12",8,"A",13.7339055793991,"CDK2"
"13",7,"A",15.0637880274779,"CDK2"
"14",6,"A",16.4281625643961,"CDK2"
"15",5,"A",19.3681318681319,"CDK2"
"16",4,"A",21.2875536480687,"CDK2"
"17",3,"A",26.2013729977117,"CDK2"
"18",2,"A",30.5841924398625,"CDK2"
"19",1,"A",40.2061855670103,"CDK2"
"20",0.9,"A",39.3129770992366,"CDK2"
"21",0.8,"A",40.343347639485,"CDK2"
"22",0.7,"A",44.6078431372549,"CDK2"
"23",0.6,"A",48,"CDK2"
"24",0.5,"A",46.5753424657534,"CDK2"
"25",0.4,"A",46.551724137931,"CDK2"
"26",0.3,"A",52.8735632183908,"CDK2"
"27",0.2,"A",51.7241379310345,"CDK2"
"28",0.1,"A",58.6206896551724,"CDK2"
"29",100,"S",2.74047872523095,"CDK2"
"30",90,"S",2.86564658297401,"CDK2"
"31",80,"S",2.99635114831509,"CDK2"
"32",70,"S",3.16930775646372,"CDK2"
"33",60,"S",3.43998626295003,"CDK2"
"34",50,"S",3.76373626373626,"CDK2"
"35",40,"S",4.26682692307692,"CDK2"
"36",30,"S",4.87637362637363,"CDK2"
"37",20,"S",5.03090659340659,"CDK2"
"38",10,"S",5.63186813186813,"CDK2"
"39",9,"S",6.21900038153377,"CDK2"
"40",8,"S",6.69527896995708,"CDK2"
"41",7,"S",7.26202158979392,"CDK2"
"42",6,"S",7.72753291356611,"CDK2"
"43",5,"S",7.62362637362637,"CDK2"
"44",4,"S",7.38197424892704,"CDK2"
"45",3,"S",7.66590389016018,"CDK2"
"46",2,"S",6.87285223367698,"CDK2"
"47",1,"S",10.6529209621993,"CDK2"
"48",0.9,"S",9.54198473282443,"CDK2"
"49",0.8,"S",10.3004291845494,"CDK2"
"50",0.7,"S",9.80392156862745,"CDK2"
