"","size","group","precision","target"
"1",100,"A",2.21906473316896,"COX2"
"2",90,"A",2.37277117384844,"COX2"
"3",80,"A",2.54401086559056,"COX2"
"4",70,"A",2.76417910447761,"COX2"
"5",60,"A",2.98112419029045,"COX2"
"6",50,"A",3.45202273487128,"COX2"
"7",40,"A",4.00125365649812,"COX2"
"8",30,"A",4.93104889260343,"COX2"
"9",20,"A",6.72795653990806,"COX2"
"10",10,"A",10.3217718345173,"COX2"
"11",9,"A",10.4921077065924,"COX2"
"12",8,"A",11.2330198537095,"COX2"
"13",7,"A",12.2985074626866,"COX2"
"14",6,"A",13.7186629526462,"COX2"
"15",5,"A",15.3846153846154,"COX2"
"16",4,"A",16.0919540229885,"COX2"
"17",3,"A",16.016713091922,"COX2"
"18",2,"A",17.1189979123173,"COX2"
"19",1,"A",16.3179916317992,"COX2"
"20",0.9,"A",13.4883720930233,"COX2"
"21",0.8,"A",13.6125654450262,"COX2"
"22",0.7,"A",14.3712574850299,"COX2"
"23",0.6,"A",12.5874125874126,"COX2"
"24",0.5,"A",11.6666666666667,"COX2"
"25",0.4,"A",9.375,"COX2"
"26",0.3,"A",11.1111111111111,"COX2"
"27",0.2,"A",4.16666666666667,"COX2"
"28",0.1,"A",4.16666666666667,"COX2"
"29",100,"S",2.21906473316896,"COX2"
"30",90,"S",2.43777860326895,"COX2"
"31",80,"S",2.65371153946612,"COX2"
"32",70,"S",2.86567164179104,"COX2"
"33",60,"S",3.09256808525458,"COX2"
"34",50,"S",3.43530591775326,"COX2"
"35",40,"S",3.79231090681153,"COX2"
"36",30,"S",4.3877977434183,"COX2"
"37",20,"S",5.28625156707062,"COX2"
"38",10,"S",6.97868783953197,"COX2"
"39",9,"S",7.14948932219127,"COX2"
"40",8,"S",7.26227795193312,"COX2"
"41",7,"S",7.46268656716418,"COX2"
"42",6,"S",7.86908077994429,"COX2"
"43",5,"S",8.94648829431438,"COX2"
"44",4,"S",8.46394984326019,"COX2"
"45",3,"S",8.4958217270195,"COX2"
"46",2,"S",9.18580375782881,"COX2"
"47",1,"S",12.9707112970711,"COX2"
"48",0.9,"S",12.5581395348837,"COX2"
"49",0.8,"S",14.1361256544503,"COX2"
"50",0.7,"S",16.1676646706587,"COX2"
"51",0.6,"S",15.3846153846154,"COX2"
"52",0.5,"S",15,"COX2"
"53",0.4,"S",18.75,"COX2"
"54",0.3,"S",22.2222222222222,"COX2"
"55",0.2,"S",18.75,"COX2"
"56",0.1,"S",16.6666666666667,"COX2"
"57",5,"RF5_xi",8.94648829431438,"COX2"
"58",4,"RF5_xi",10.0313479623824,"COX2"
"59",3,"RF5_xi",11.5598885793872,"COX2"
"60",2,"RF5_xi",13.8075313807531,"COX2"
"61",1,"RF5_xi",18.8284518828452,"COX2"
"62",0.9,"RF5_xi",20,"COX2"
"63",0.8,"RF5_xi",20.9424083769633,"COX2"
"64",0.7,"RF5_xi",21.5568862275449,"COX2"
"65",0.6,"RF5_xi",21.6783216783217,"COX2"
"66",0.5,"RF5_xi",20.8333333333333,"COX2"
"67",0.4,"RF5_xi",20.8333333333333,"COX2"
"68",0.3,"RF5_xi",22.2222222222222,"COX2"
"69",0.2,"RF5_xi",22.9166666666667,"COX2"
