"","size","group","precision","target"
"1",100,"A",3.15337901832971,"DHFR"
"2",90,"A",3.47901448557633,"DHFR"
"3",80,"A",3.87910021589247,"DHFR"
"4",70,"A",4.41738299904489,"DHFR"
"5",60,"A",4.76367350728944,"DHFR"
"6",50,"A",5.44907510586138,"DHFR"
"7",40,"A",5.80779944289694,"DHFR"
"8",30,"A",5.49675023212628,"DHFR"
"9",20,"A",3.87186629526462,"DHFR"
"10",10,"A",3.62116991643454,"DHFR"
"11",9,"A",3.21782178217822,"DHFR"
"12",8,"A",3.2033426183844,"DHFR"
"13",7,"A",3.10509554140127,"DHFR"
"14",6,"A",2.22841225626741,"DHFR"
"15",5,"A",1.89309576837416,"DHFR"
"16",4,"A",2.0891364902507,"DHFR"
"17",3,"A",2.04460966542751,"DHFR"
"18",2,"A",2.50696378830084,"DHFR"
"19",1,"A",3.33333333333333,"DHFR"
"20",0.9,"A",1.85185185185185,"DHFR"
"21",0.8,"A",2.08333333333333,"DHFR"
"22",0.7,"A",0,"DHFR"
"23",0.6,"A",0,"DHFR"
"24",0.5,"A",0,"DHFR"
"25",0.4,"A",0,"DHFR"
"26",0.3,"A",0,"DHFR"
"27",0.2,"A",0,"DHFR"
"28",0.1,"A",0,"DHFR"
"29",100,"S",3.15337901832971,"DHFR"
"30",90,"S",3.3861582270645,"DHFR"
"31",80,"S",3.37070826659238,"DHFR"
"32",70,"S",3.53390639923591,"DHFR"
"33",60,"S",3.82579626706287,"DHFR"
"34",50,"S",3.90015600624025,"DHFR"
"35",40,"S",4.09470752089137,"DHFR"
"36",30,"S",4.71680594243268,"DHFR"
"37",20,"S",4.9025069637883,"DHFR"
"38",10,"S",4.5125348189415,"DHFR"
"39",9,"S",3.96039603960396,"DHFR"
"40",8,"S",4.17827298050139,"DHFR"
"41",7,"S",3.98089171974522,"DHFR"
"42",6,"S",4.08542246982358,"DHFR"
"43",5,"S",3.34075723830735,"DHFR"
"44",4,"S",3.76044568245125,"DHFR"
"45",3,"S",2.41635687732342,"DHFR"
"46",2,"S",3.06406685236769,"DHFR"
"47",1,"S",3.88888888888889,"DHFR"
"48",0.9,"S",4.32098765432099,"DHFR"
"49",0.8,"S",4.86111111111111,"DHFR"
"50",0.7,"S",5.55555555555556,"DHFR"
"51",0.6,"S",6.48148148148148,"DHFR"
"52",0.5,"S",7.77777777777778,"DHFR"
"53",0.4,"S",8.33333333333333,"DHFR"
"54",0.3,"S",11.1111111111111,"DHFR"
"55",0.2,"S",16.6666666666667,"DHFR"
"56",0.1,"S",27.7777777777778,"DHFR"
"57",5,"RF5_xi",3.34448160535117,"DHFR"
"58",4,"RF5_xi",4.17827298050139,"DHFR"
"59",3,"RF5_xi",5.57620817843866,"DHFR"
"60",2,"RF5_xi",8.07799442896936,"DHFR"
"61",1,"RF5_xi",9.49720670391062,"DHFR"
"62",0.9,"RF5_xi",7.40740740740741,"DHFR"
"63",0.8,"RF5_xi",7.63888888888889,"DHFR"
"64",0.7,"RF5_xi",7.93650793650794,"DHFR"
"65",0.6,"RF5_xi",9.25925925925926,"DHFR"
"66",0.5,"RF5_xi",7.77777777777778,"DHFR"
"67",0.4,"RF5_xi",8.33333333333333,"DHFR"
"68",0.3,"RF5_xi",11.1111111111111,"DHFR"
"69",0.2,"RF5_xi",16.6666666666667,"DHFR"
"70",0.1,"RF5_xi",5.55555555555556,"DHFR"
"71",5,"RF5_xiii",3.34448160535117,"DHFR"
"72",4,"RF5_xiii",4.03899721448468,"DHFR"
"73",3,"RF5_xiii",5.39033457249071,"DHFR"
"74",2,"RF5_xiii",8.07799442896936,"DHFR"
"75",1,"RF5_xiii",8.93854748603352,"DHFR"
"76",0.9,"RF5_xiii",8.64197530864197,"DHFR"
"77",0.8,"RF5_xiii",9.02777777777778,"DHFR"
"78",0.7,"RF5_xiii",9.52380952380952,"DHFR"
"79",0.6,"RF5_xiii",11.1111111111111,"DHFR"
"80",0.5,"RF5_xiii",12.2222222222222,"DHFR"
"81",0.4,"RF5_xiii",15.2777777777778,"DHFR"
"82",0.3,"RF5_xiii",18.5185185185185,"DHFR"
"83",0.2,"RF5_xiii",16.6666666666667,"DHFR"
"84",0.1,"RF5_xiii",5.55555555555556,"DHFR"
"85",1,"RF1_xi",3.91061452513966,"DHFR"
"86",0.9,"RF1_xi",4.32098765432099,"DHFR"
"87",0.8,"RF1_xi",4.86111111111111,"DHFR"
"88",0.7,"RF1_xi",4.76190476190476,"DHFR"
"89",0.6,"RF1_xi",5.55555555555556,"DHFR"
"90",0.5,"RF1_xi",6.66666666666667,"DHFR"
"91",0.4,"RF1_xi",8.33333333333333,"DHFR"
"92",0.3,"RF1_xi",9.25925925925926,"DHFR"
"93",0.2,"RF1_xi",13.8888888888889,"DHFR"
"94",0.1,"RF1_xi",27.7777777777778,"DHFR"
"95",1,"RF1_xiii",3.91061452513966,"DHFR"
"96",0.9,"RF1_xiii",4.32098765432099,"DHFR"
"97",0.8,"RF1_xiii",4.16666666666667,"DHFR"
"98",0.7,"RF1_xiii",4.76190476190476,"DHFR"
"99",0.6,"RF1_xiii",5.55555555555556,"DHFR"
"100",0.5,"RF1_xiii",6.66666666666667,"DHFR"
"101",0.4,"RF1_xiii",8.33333333333333,"DHFR"
"102",0.3,"RF1_xiii",11.1111111111111,"DHFR"
"103",0.2,"RF1_xiii",16.6666666666667,"DHFR"
"104",0.1,"RF1_xiii",22.2222222222222,"DHFR"
"105",5,"NN5_xi",3.34448160535117,"DHFR"
"106",4,"NN5_xi",4.17827298050139,"DHFR"
"107",3,"NN5_xi",5.57620817843866,"DHFR"
"108",2,"NN5_xi",8.07799442896936,"DHFR"
"109",1,"NN5_xi",13.9664804469274,"DHFR"
"110",0.9,"NN5_xi",14.1975308641975,"DHFR"
"111",0.8,"NN5_xi",14.5833333333333,"DHFR"
"112",0.7,"NN5_xi",16.6666666666667,"DHFR"
"113",0.6,"NN5_xi",19.4444444444444,"DHFR"
"114",0.5,"NN5_xi",22.2222222222222,"DHFR"
"115",0.4,"NN5_xi",20.8333333333333,"DHFR"
"116",0.3,"NN5_xi",11.1111111111111,"DHFR"
"117",0.2,"NN5_xi",13.8888888888889,"DHFR"
"118",0.1,"NN5_xi",16.6666666666667,"DHFR"
"119",5,"NN5_xiii",3.34448160535117,"DHFR"
"120",4,"NN5_xiii",4.17827298050139,"DHFR"
"121",3,"NN5_xiii",5.57620817843866,"DHFR"
"122",2,"NN5_xiii",8.07799442896936,"DHFR"
"123",1,"NN5_xiii",12.2905027932961,"DHFR"
"124",0.9,"NN5_xiii",10.4938271604938,"DHFR"
"125",0.8,"NN5_xiii",9.72222222222222,"DHFR"
"126",0.7,"NN5_xiii",11.1111111111111,"DHFR"
"127",0.6,"NN5_xiii",11.1111111111111,"DHFR"
"128",0.5,"NN5_xiii",10,"DHFR"
"129",0.4,"NN5_xiii",11.1111111111111,"DHFR"
"130",0.3,"NN5_xiii",12.962962962963,"DHFR"
"131",0.2,"NN5_xiii",16.6666666666667,"DHFR"
"132",0.1,"NN5_xiii",16.6666666666667,"DHFR"
"133",1,"NN1_xi",3.91061452513966,"DHFR"
"134",0.9,"NN1_xi",4.32098765432099,"DHFR"
"135",0.8,"NN1_xi",4.86111111111111,"DHFR"
"136",0.7,"NN1_xi",4.76190476190476,"DHFR"
"137",0.6,"NN1_xi",5.55555555555556,"DHFR"
