"","size","group","precision","target"
"1",100,"A",2.91923148666294,"ESR1"
"2",90,"A",3.2279792746114,"ESR1"
"3",80,"A",3.61993587875255,"ESR1"
"4",70,"A",4.11031909932716,"ESR1"
"5",60,"A",4.69454375874398,"ESR1"
"6",50,"A",5.43741839209103,"ESR1"
"7",40,"A",6.56330146887386,"ESR1"
"8",30,"A",8.50303124514224,"ESR1"
"9",20,"A",11.9841454884588,"ESR1"
"10",10,"A",20.8022388059701,"ESR1"
"11",9,"A",22.5906735751295,"ESR1"
"12",8,"A",25.1895043731778,"ESR1"
"13",7,"A",27.981345769487,"ESR1"
"14",6,"A",30.9486780715397,"ESR1"
"15",5,"A",35.9141791044776,"ESR1"
"16",4,"A",41.958041958042,"ESR1"
"17",3,"A",51.7884914463453,"ESR1"
"18",2,"A",68.997668997669,"ESR1"
"19",1,"A",94.392523364486,"ESR1"
"20",0.9,"A",94.300518134715,"ESR1"
"21",0.8,"A",95.3216374269006,"ESR1"
"22",0.7,"A",96,"ESR1"
"23",0.6,"A",97.65625,"ESR1"
"24",0.5,"A",98.1308411214953,"ESR1"
"25",0.4,"A",98.8372093023256,"ESR1"
"26",0.3,"A",100,"ESR1"
"27",0.2,"A",100,"ESR1"
"28",0.1,"A",100,"ESR1"
"29",100,"S",2.91923148666294,"ESR1"
"30",90,"S",3.16062176165803,"ESR1"
"31",80,"S",3.27018361993588,"ESR1"
"32",70,"S",3.47744987009526,"ESR1"
"33",60,"S",3.66081144100731,"ESR1"
"34",50,"S",3.93583286700242,"ESR1"
"35",40,"S",4.31335975751924,"ESR1"
"36",30,"S",4.84999222757656,"ESR1"
"37",20,"S",5.99207274422942,"ESR1"
"38",10,"S",7.27611940298507,"ESR1"
"39",9,"S",7.66839378238342,"ESR1"
"40",8,"S",8.2798833819242,"ESR1"
"41",7,"S",8.52764823451033,"ESR1"
"42",6,"S",9.09797822706065,"ESR1"
"43",5,"S",9.98134328358209,"ESR1"
"44",4,"S",11.3053613053613,"ESR1"
"45",3,"S",11.8195956454121,"ESR1"
"46",2,"S",14.6853146853147,"ESR1"
"47",1,"S",14.9532710280374,"ESR1"
"48",0.9,"S",15.0259067357513,"ESR1"
"49",0.8,"S",16.374269005848,"ESR1"
"50",0.7,"S",16.6666666666667,"ESR1"
"51",0.6,"S",17.1875,"ESR1"
"52",0.5,"S",19.6261682242991,"ESR1"
"53",0.4,"S",20.9302325581395,"ESR1"
"54",0.3,"S",28.125,"ESR1"
"55",0.2,"S",30.2325581395349,"ESR1"
"56",0.1,"S",52.3809523809524,"ESR1"
"57",5,"RF5_xi",9.98134328358209,"ESR1"
"58",4,"RF5_xi",12.4708624708625,"ESR1"
"59",3,"RF5_xi",16.1741835147745,"ESR1"
"60",2,"RF5_xi",22.8438228438228,"ESR1"
"61",1,"RF5_xi",39.2523364485981,"ESR1"
"62",0.9,"RF5_xi",43.5233160621762,"ESR1"
"63",0.8,"RF5_xi",48.5380116959064,"ESR1"
"64",0.7,"RF5_xi",52,"ESR1"
"65",0.6,"RF5_xi",54.6875,"ESR1"
"66",0.5,"RF5_xi",60.7476635514019,"ESR1"
"67",0.4,"RF5_xi",65.1162790697674,"ESR1"
"68",0.3,"RF5_xi",68.75,"ESR1"
"69",0.2,"RF5_xi",74.4186046511628,"ESR1"
"70",0.1,"RF5_xi",80.9523809523809,"ESR1"
"71",5,"RF5_xiii",9.98134328358209,"ESR1"
"72",4,"RF5_xiii",12.4708624708625,"ESR1"
"73",3,"RF5_xiii",16.3297045101089,"ESR1"
"74",2,"RF5_xiii",23.7762237762238,"ESR1"
"75",1,"RF5_xiii",40.6542056074766,"ESR1"
"76",0.9,"RF5_xiii",44.559585492228,"ESR1"
"77",0.8,"RF5_xiii",47.953216374269,"ESR1"
"78",0.7,"RF5_xiii",52.6666666666667,"ESR1"
"79",0.6,"RF5_xiii",60.15625,"ESR1"
"80",0.5,"RF5_xiii",70.0934579439252,"ESR1"
"81",0.4,"RF5_xiii",81.3953488372093,"ESR1"
"82",0.3,"RF5_xiii",87.5,"ESR1"
"83",0.2,"RF5_xiii",93.0232558139535,"ESR1"
"84",0.1,"RF5_xiii",90.4761904761905,"ESR1"
"85",1,"RF1_xi",14.9532710280374,"ESR1"
"86",0.9,"RF1_xi",16.6666666666667,"ESR1"
"87",0.8,"RF1_xi",17.5438596491228,"ESR1"
"88",0.7,"RF1_xi",20.1342281879195,"ESR1"
"89",0.6,"RF1_xi",23.4375,"ESR1"
"90",0.5,"RF1_xi",26.1682242990654,"ESR1"
"91",0.4,"RF1_xi",31.7647058823529,"ESR1"
"92",0.3,"RF1_xi",42.1875,"ESR1"
"93",0.2,"RF1_xi",64.2857142857143,"ESR1"
"94",0.1,"RF1_xi",80.9523809523809,"ESR1"
"95",1,"RF1_xiii",14.9532710280374,"ESR1"
"96",0.9,"RF1_xiii",16.1458333333333,"ESR1"
"97",0.8,"RF1_xiii",18.1286549707602,"ESR1"
"98",0.7,"RF1_xiii",20.8053691275168,"ESR1"
"99",0.6,"RF1_xiii",23.4375,"ESR1"
"100",0.5,"RF1_xiii",28.0373831775701,"ESR1"
"101",0.4,"RF1_xiii",32.9411764705882,"ESR1"
"102",0.3,"RF1_xiii",42.1875,"ESR1"
"103",0.2,"RF1_xiii",64.2857142857143,"ESR1"
"104",0.1,"RF1_xiii",85.7142857142857,"ESR1"
"105",5,"NN5_xi",9.98134328358209,"ESR1"
"106",4,"NN5_xi",12.2377622377622,"ESR1"
"107",3,"NN5_xi",16.1741835147745,"ESR1"
"108",2,"NN5_xi",23.5431235431235,"ESR1"
"109",1,"NN5_xi",37.8504672897196,"ESR1"
"110",0.9,"NN5_xi",41.4507772020725,"ESR1"
"111",0.8,"NN5_xi",45.6140350877193,"ESR1"
"112",0.7,"NN5_xi",51.3333333333333,"ESR1"
"113",0.6,"NN5_xi",56.25,"ESR1"
"114",0.5,"NN5_xi",64.4859813084112,"ESR1"
"115",0.4,"NN5_xi",73.2558139534884,"ESR1"
"116",0.3,"NN5_xi",81.25,"ESR1"
"117",0.2,"NN5_xi",93.0232558139535,"ESR1"
"118",0.1,"NN5_xi",100,"ESR1"
"119",5,"NN5_xiii",9.98134328358209,"ESR1"
"120",4,"NN5_xiii",12.3543123543124,"ESR1"
"121",3,"NN5_xiii",16.1741835147745,"ESR1"
"122",2,"NN5_xiii",23.5431235431235,"ESR1"
"123",1,"NN5_xiii",39.7196261682243,"ESR1"
"124",0.9,"NN5_xiii",43.5233160621762,"ESR1"
"125",0.8,"NN5_xiii",47.953216374269,"ESR1"
"126",0.7,"NN5_xiii",54.6666666666667,"ESR1"
"127",0.6,"NN5_xiii",62.5,"ESR1"
"128",0.5,"NN5_xiii",67.2897196261682,"ESR1"
"129",0.4,"NN5_xiii",73.2558139534884,"ESR1"
"130",0.3,"NN5_xiii",85.9375,"ESR1"
"131",0.2,"NN5_xiii",93.0232558139535,"ESR1"
"132",0.1,"NN5_xiii",90.4761904761905,"ESR1"
"133",1,"NN1_xi",14.9532710280374,"ESR1"
"134",0.9,"NN1_xi",16.1458333333333,"ESR1"
"135",0.8,"NN1_xi",18.1286549707602,"ESR1"
"136",0.7,"NN1_xi",20.8053691275168,"ESR1"
"137",0.6,"NN1_xi",22.65625,"ESR1"
"138",0.5,"NN1_xi",27.1028037383178,"ESR1"
"139",0.4,"NN1_xi",32.9411764705882,"ESR1"
"140",0.3,"NN1_xi",43.75,"ESR1"
"141",0.2,"NN1_xi",64.2857142857143,"ESR1"
"142",0.1,"NN1_xi",80.9523809523809,"ESR1"
"143",1,"NN1_xiii",14.9532710280374,"ESR1"
"144",0.9,"NN1_xiii",16.1458333333333,"ESR1"
"145",0.8,"NN1_xiii",18.1286549707602,"ESR1"
"146",0.7,"NN1_xiii",20.8053691275168,"ESR1"
"147",0.6,"NN1_xiii",23.4375,"ESR1"
"148",0.5,"NN1_xiii",28.0373831775701,"ESR1"
"149",0.4,"NN1_xiii",32.9411764705882,"ESR1"
"150",0.3,"NN1_xiii",40.625,"ESR1"
"151",0.2,"NN1_xiii",61.9047619047619,"ESR1"
"152",0.1,"NN1_xiii",76.1904761904762,"ESR1"
"153",100,"cML100",2.91923148666294,"ESR1"
"154",90,"cML100",3.20725388601036,"ESR1"
"155",80,"cML100",3.56747303993005,"ESR1"
"156",70,"cML100",4.01039237892212,"ESR1"
"157",60,"cML100",4.55464013679465,"ESR1"
"158",50,"cML100",5.26021264689424,"ESR1"
"159",40,"cML100",6.38843553275822,"ESR1"
"160",30,"cML100",8.1454997668273,"ESR1"
"161",20,"cML100",11.1914199114013,"ESR1"
"162",10,"cML100",19.4962686567164,"ESR1"
"163",9,"cML100",21.1917098445596,"ESR1"
"164",8,"cML100",22.8571428571429,"ESR1"
"165",7,"cML100",25.2498334443704,"ESR1"
"166",6,"cML100",27.2161741835148,"ESR1"
"167",5,"cML100",29.1977611940299,"ESR1"
"168",4,"cML100",34.1491841491842,"ESR1"
"169",3,"cML100",41.0575427682737,"ESR1"
"170",2,"cML100",52.6806526806527,"ESR1"
"171",1,"cML100",70.0934579439252,"ESR1"
"172",0.9,"cML100",72.020725388601,"ESR1"
"173",0.8,"cML100",74.8538011695906,"ESR1"
"174",0.7,"cML100",77.3333333333333,"ESR1"
"175",0.6,"cML100",82.8125,"ESR1"
"176",0.5,"cML100",89.7196261682243,"ESR1"
"177",0.4,"cML100",89.5348837209302,"ESR1"
