"","size","group","precision","target"
"1",100,"A",3.73426375595266,"FXa"
"2",90,"A",4.12824811399832,"FXa"
"3",80,"A",4.60305298520658,"FXa"
"4",70,"A",5.21352552876196,"FXa"
"5",60,"A",5.89390962671906,"FXa"
"6",50,"A",6.74273858921162,"FXa"
"7",40,"A",7.94436586515794,"FXa"
"8",30,"A",9.53952538110954,"FXa"
"9",20,"A",12.046204620462,"FXa"
"10",10,"A",19.9434229137199,"FXa"
"11",9,"A",20.848611838659,"FXa"
"12",8,"A",22.8049499116087,"FXa"
"13",7,"A",25.1178451178451,"FXa"
"14",6,"A",28.3582089552239,"FXa"
"15",5,"A",32.2641509433962,"FXa"
"16",4,"A",36.438679245283,"FXa"
"17",3,"A",42.4528301886792,"FXa"
"18",2,"A",50.9433962264151,"FXa"
"19",1,"A",68.3962264150943,"FXa"
"20",0.9,"A",72.7748691099476,"FXa"
"21",0.8,"A",75.8823529411765,"FXa"
"22",0.7,"A",80.4054054054054,"FXa"
"23",0.6,"A",82.6771653543307,"FXa"
"24",0.5,"A",83.0188679245283,"FXa"
"25",0.4,"A",83.5294117647059,"FXa"
"26",0.3,"A",85.9375,"FXa"
"27",0.2,"A",90.4761904761905,"FXa"
"28",0.1,"A",90.4761904761905,"FXa"
"29",100,"S",3.73426375595266,"FXa"
"30",90,"S",3.95536462699078,"FXa"
"31",80,"S",3.97241704485177,"FXa"
"32",70,"S",4.06843594234137,"FXa"
"33",60,"S",4.29076620825147,"FXa"
"34",50,"S",4.68691059977367,"FXa"
"35",40,"S",5.22159358793022,"FXa"
"36",30,"S",6.003457488606,"FXa"
"37",20,"S",7.75577557755776,"FXa"
"38",10,"S",10.7496463932107,"FXa"
"39",9,"S",11.3148245154531,"FXa"
"40",8,"S",12.1979964643489,"FXa"
"41",7,"S",13.4006734006734,"FXa"
"42",6,"S",13.3542812254517,"FXa"
"43",5,"S",14.4339622641509,"FXa"
"44",4,"S",15.9198113207547,"FXa"
"45",3,"S",18.0817610062893,"FXa"
"46",2,"S",19.3396226415094,"FXa"
"47",1,"S",15.0943396226415,"FXa"
"48",0.9,"S",15.1832460732984,"FXa"
"49",0.8,"S",11.7647058823529,"FXa"
"50",0.7,"S",12.8378378378378,"FXa"
"51",0.6,"S",9.44881889763779,"FXa"
"52",0.5,"S",7.54716981132075,"FXa"
"53",0.4,"S",4.70588235294118,"FXa"
"54",0.3,"S",3.125,"FXa"
"55",0.2,"S",0,"FXa"
"56",0.1,"S",0,"FXa"
"57",5,"RF5_xi",14.4339622641509,"FXa"
"58",4,"RF5_xi",17.3349056603774,"FXa"
"59",3,"RF5_xi",21.3836477987421,"FXa"
"60",2,"RF5_xi",27.122641509434,"FXa"
"61",1,"RF5_xi",31.1320754716981,"FXa"
"62",0.9,"RF5_xi",33.5078534031414,"FXa"
"63",0.8,"RF5_xi",34.7058823529412,"FXa"
"64",0.7,"RF5_xi",37.8378378378378,"FXa"
"65",0.6,"RF5_xi",40.9448818897638,"FXa"
"66",0.5,"RF5_xi",45.2830188679245,"FXa"
"67",0.4,"RF5_xi",48.2352941176471,"FXa"
"68",0.3,"RF5_xi",48.4375,"FXa"
"69",0.2,"RF5_xi",66.6666666666667,"FXa"
"70",0.1,"RF5_xi",80.9523809523809,"FXa"
"71",5,"RF5_xiii",14.4339622641509,"FXa"
"72",4,"RF5_xiii",17.4528301886792,"FXa"
"73",3,"RF5_xiii",21.5408805031447,"FXa"
"74",2,"RF5_xiii",26.4150943396226,"FXa"
"75",1,"RF5_xiii",33.4905660377358,"FXa"
