"","size","group","precision","target"
"1",100,"A",6.86944634313055,"GART"
"2",90,"A",7.63387770603874,"GART"
"3",80,"A",8.4579239641179,"GART"
"4",70,"A",9.423828125,"GART"
"5",60,"A",10.9908883826879,"GART"
"6",50,"A",11.6883116883117,"GART"
"7",40,"A",12.1367521367521,"GART"
"8",30,"A",13.5535307517084,"GART"
"9",20,"A",17.0940170940171,"GART"
"10",10,"A",19.4539249146758,"GART"
"11",9,"A",21.5909090909091,"GART"
"12",8,"A",24.3589743589744,"GART"
"13",7,"A",27.8048780487805,"GART"
"14",6,"A",32.3863636363636,"GART"
"15",5,"A",32.1917808219178,"GART"
"16",4,"A",34.1880341880342,"GART"
"17",3,"A",36.3636363636364,"GART"
"18",2,"A",44.0677966101695,"GART"
"19",1,"A",31.0344827586207,"GART"
"20",0.9,"A",34.6153846153846,"GART"
"21",0.8,"A",39.1304347826087,"GART"
"22",0.7,"A",40,"GART"
"23",0.6,"A",29.4117647058824,"GART"
"24",0.5,"A",14.2857142857143,"GART"
"25",0.4,"A",0,"GART"
"26",0.3,"A",0,"GART"
"27",0.2,"A",0,"GART"
"28",0.1,"A",0,"GART"
"29",100,"S",6.86944634313055,"GART"
"30",90,"S",7.63387770603874,"GART"
"31",80,"S",7.73173857325929,"GART"
"32",70,"S",8.30078125,"GART"
"33",60,"S",5.75170842824601,"GART"
"34",50,"S",3.69104579630895,"GART"
"35",40,"S",1.88034188034188,"GART"
"36",30,"S",0.683371298405467,"GART"
"37",20,"S",1.02564102564103,"GART"
"38",10,"S",1.36518771331058,"GART"
"39",9,"S",1.51515151515152,"GART"
"40",8,"S",1.70940170940171,"GART"
"41",7,"S",1.95121951219512,"GART"
"42",6,"S",2.27272727272727,"GART"
"43",5,"S",2.73972602739726,"GART"
"44",4,"S",1.70940170940171,"GART"
"45",3,"S",2.27272727272727,"GART"
"46",2,"S",1.69491525423729,"GART"
"47",1,"S",3.44827586206897,"GART"
"48",0.9,"S",3.84615384615385,"GART"
"49",0.8,"S",4.34782608695652,"GART"
"50",0.7,"S",5,"GART"
"51",0.6,"S",0,"GART"
"52",0.5,"S",0,"GART"
"53",0.4,"S",0,"GART"
"54",0.3,"S",0,"GART"
"55",0.2,"S",0,"GART"
"56",0.1,"S",0,"GART"
"57",5,"RF5_xi",2.73972602739726,"GART"
"58",4,"RF5_xi",3.41880341880342,"GART"
"59",3,"RF5_xi",4.54545454545455,"GART"
"60",2,"RF5_xi",3.44827586206897,"GART"
"61",1,"RF5_xi",3.44827586206897,"GART"
"62",0.9,"RF5_xi",3.84615384615385,"GART"
"63",0.8,"RF5_xi",4.34782608695652,"GART"
"64",0.7,"RF5_xi",5,"GART"
"65",0.6,"RF5_xi",5.88235294117647,"GART"
"66",0.5,"RF5_xi",0,"GART"
"67",0.4,"RF5_xi",0,"GART"
"68",0.3,"RF5_xi",0,"GART"
"69",0.2,"RF5_xi",0,"GART"
"70",0.1,"RF5_xi",0,"GART"
"71",5,"RF5_xiii",2.73972602739726,"GART"
"72",4,"RF5_xiii",3.41880341880342,"GART"
"73",3,"RF5_xiii",4.54545454545455,"GART"
"74",2,"RF5_xiii",3.44827586206897,"GART"
"75",1,"RF5_xiii",6.89655172413793,"GART"
"76",0.9,"RF5_xiii",7.69230769230769,"GART"
"77",0.8,"RF5_xiii",8.69565217391304,"GART"
"78",0.7,"RF5_xiii",10,"GART"
"79",0.6,"RF5_xiii",11.7647058823529,"GART"
"80",0.5,"RF5_xiii",14.2857142857143,"GART"
"81",0.4,"RF5_xiii",8.33333333333333,"GART"
"82",0.3,"RF5_xiii",0,"GART"
"83",0.2,"RF5_xiii",0,"GART"
"84",0.1,"RF5_xiii",0,"GART"
"85",1,"RF1_xi",3.44827586206897,"GART"
"86",0.9,"RF1_xi",3.84615384615385,"GART"
"87",0.8,"RF1_xi",4.34782608695652,"GART"
"88",0.7,"RF1_xi",5,"GART"
"89",0.6,"RF1_xi",5.88235294117647,"GART"
"90",0.5,"RF1_xi",7.14285714285714,"GART"
"91",0.4,"RF1_xi",9.09090909090909,"GART"
"92",0.3,"RF1_xi",12.5,"GART"
"93",0.2,"RF1_xi",20,"GART"
"94",0.1,"RF1_xi",50,"GART"
"95",1,"RF1_xiii",3.44827586206897,"GART"
"96",0.9,"RF1_xiii",3.84615384615385,"GART"
"97",0.8,"RF1_xiii",4.34782608695652,"GART"
"98",0.7,"RF1_xiii",5,"GART"
"99",0.6,"RF1_xiii",5.88235294117647,"GART"
"100",0.5,"RF1_xiii",7.14285714285714,"GART"
"101",0.4,"RF1_xiii",9.09090909090909,"GART"
"102",0.3,"RF1_xiii",12.5,"GART"
"103",0.2,"RF1_xiii",20,"GART"
"104",0.1,"RF1_xiii",50,"GART"
"105",5,"NN5_xi",2.73972602739726,"GART"
"106",4,"NN5_xi",3.41880341880342,"GART"
"107",3,"NN5_xi",4.54545454545455,"GART"
"108",2,"NN5_xi",6.89655172413793,"GART"
"109",1,"NN5_xi",6.89655172413793,"GART"
"110",0.9,"NN5_xi",7.69230769230769,"GART"
"111",0.8,"NN5_xi",8.69565217391304,"GART"
"112",0.7,"NN5_xi",5,"GART"
"113",0.6,"NN5_xi",0,"GART"
"114",0.5,"NN5_xi",0,"GART"
"115",0.4,"NN5_xi",0,"GART"
"116",0.3,"NN5_xi",0,"GART"
"117",0.2,"NN5_xi",0,"GART"
"118",0.1,"NN5_xi",0,"GART"
"119",5,"NN5_xiii",2.73972602739726,"GART"
"120",4,"NN5_xiii",3.41880341880342,"GART"
"121",3,"NN5_xiii",4.54545454545455,"GART"
