"","size","group","precision","target"
"1",100,"A",3.57551124095008,"GCR"
"2",90,"A",3.85999576600099,"GCR"
"3",80,"A",4.31055013098357,"GCR"
"4",70,"A",4.85392850662312,"GCR"
"5",60,"A",5.4614733276884,"GCR"
"6",50,"A",6.41432744824082,"GCR"
"7",40,"A",7.62146713242299,"GCR"
"8",30,"A",9.08128704487722,"GCR"
"9",20,"A",11.5909812638933,"GCR"
"10",10,"A",17.9047619047619,"GCR"
"11",9,"A",19.0409026798307,"GCR"
"12",8,"A",20.6349206349206,"GCR"
"13",7,"A",23.3212341197822,"GCR"
"14",6,"A",24.8677248677249,"GCR"
"15",5,"A",29.5685279187817,"GCR"
"16",4,"A",35.7142857142857,"GCR"
"17",3,"A",38.3474576271186,"GCR"
"18",2,"A",40,"GCR"
"19",1,"A",44.9367088607595,"GCR"
"20",0.9,"A",47.887323943662,"GCR"
"21",0.8,"A",48.4126984126984,"GCR"
"22",0.7,"A",54.954954954955,"GCR"
"23",0.6,"A",63.1578947368421,"GCR"
"24",0.5,"A",65.8227848101266,"GCR"
"25",0.4,"A",60.3174603174603,"GCR"
"26",0.3,"A",57.4468085106383,"GCR"
"27",0.2,"A",40.625,"GCR"
"28",0.1,"A",43.75,"GCR"
"29",100,"S",3.57551124095008,"GCR"
"30",90,"S",3.61301249029709,"GCR"
"31",80,"S",3.635786298325,"GCR"
"32",70,"S",3.55652331700236,"GCR"
"33",60,"S",3.63039796782388,"GCR"
"34",50,"S",3.50565222913756,"GCR"
"35",40,"S",3.3820260400127,"GCR"
"36",30,"S",3.34462320067739,"GCR"
"37",20,"S",3.77897745315973,"GCR"
"38",10,"S",6.03174603174603,"GCR"
"39",9,"S",6.55853314527504,"GCR"
"40",8,"S",7.38095238095238,"GCR"
"41",7,"S",8.16696914700544,"GCR"
"42",6,"S",8.78306878306878,"GCR"
"43",5,"S",10.2791878172589,"GCR"
"44",4,"S",10.952380952381,"GCR"
"45",3,"S",13.771186440678,"GCR"
"46",2,"S",12.0634920634921,"GCR"
"47",1,"S",12.6582278481013,"GCR"
"48",0.9,"S",13.3802816901408,"GCR"
"49",0.8,"S",15.0793650793651,"GCR"
"50",0.7,"S",17.1171171171171,"GCR"
"51",0.6,"S",20,"GCR"
"52",0.5,"S",22.7848101265823,"GCR"
"53",0.4,"S",19.047619047619,"GCR"
"54",0.3,"S",21.2765957446809,"GCR"
"55",0.2,"S",28.125,"GCR"
"56",0.1,"S",56.25,"GCR"
"57",5,"RF5_xi",10.292249047014,"GCR"
"58",4,"RF5_xi",12.6984126984127,"GCR"
"59",3,"RF5_xi",15.4661016949153,"GCR"
"60",2,"RF5_xi",17.7777777777778,"GCR"
"61",1,"RF5_xi",28.6624203821656,"GCR"
"62",0.9,"RF5_xi",31.6901408450704,"GCR"
"63",0.8,"RF5_xi",35.7142857142857,"GCR"
"64",0.7,"RF5_xi",37.8378378378378,"GCR"
"65",0.6,"RF5_xi",40,"GCR"
"66",0.5,"RF5_xi",44.3037974683544,"GCR"
"67",0.4,"RF5_xi",55.5555555555556,"GCR"
"68",0.3,"RF5_xi",57.4468085106383,"GCR"
"69",0.2,"RF5_xi",53.125,"GCR"
"70",0.1,"RF5_xi",81.25,"GCR"
"71",5,"RF5_xiii",10.292249047014,"GCR"
"72",4,"RF5_xiii",12.2222222222222,"GCR"
"73",3,"RF5_xiii",15.4661016949153,"GCR"
"74",2,"RF5_xiii",22.2222222222222,"GCR"
"75",1,"RF5_xiii",28.6624203821656,"GCR"
