"","size","group","precision","target"
"1",100,"A",3.25601655232495,"HMGCR"
"2",90,"A",3.25468844525106,"HMGCR"
"3",80,"A",3.15818132316907,"HMGCR"
"4",70,"A",3.26695706285003,"HMGCR"
"5",60,"A",3.39382940108893,"HMGCR"
"6",50,"A",3.41898954703833,"HMGCR"
"7",40,"A",3.37598693166349,"HMGCR"
"8",30,"A",3.77495462794918,"HMGCR"
"9",20,"A",4.46379967338051,"HMGCR"
"10",10,"A",5.01089324618736,"HMGCR"
"11",9,"A",4.60048426150121,"HMGCR"
"12",8,"A",5.17711171662125,"HMGCR"
"13",7,"A",5.59875583203732,"HMGCR"
"14",6,"A",6.17059891107078,"HMGCR"
"15",5,"A",7.40740740740741,"HMGCR"
"16",4,"A",9.26430517711172,"HMGCR"
"17",3,"A",10.9090909090909,"HMGCR"
"18",2,"A",14.1304347826087,"HMGCR"
"19",1,"A",17.3913043478261,"HMGCR"
"20",0.9,"A",19.2771084337349,"HMGCR"
"21",0.8,"A",21.6216216216216,"HMGCR"
"22",0.7,"A",14.0625,"HMGCR"
"23",0.6,"A",16.3636363636364,"HMGCR"
"24",0.5,"A",15.2173913043478,"HMGCR"
"25",0.4,"A",18.9189189189189,"HMGCR"
"26",0.3,"A",25,"HMGCR"
"27",0.2,"A",38.8888888888889,"HMGCR"
"28",0.1,"A",55.5555555555556,"HMGCR"
"29",100,"S",3.25601655232495,"HMGCR"
"30",90,"S",3.06110102843315,"HMGCR"
"31",80,"S",2.94037571467465,"HMGCR"
"32",70,"S",2.47355320472931,"HMGCR"
"33",60,"S",2.46823956442831,"HMGCR"
"34",50,"S",2.06881533101045,"HMGCR"
"35",40,"S",2.17805608494419,"HMGCR"
"36",30,"S",2.3956442831216,"HMGCR"
"37",20,"S",2.0141535111595,"HMGCR"
"38",10,"S",3.48583877995643,"HMGCR"
"39",9,"S",3.87409200968523,"HMGCR"
"40",8,"S",4.35967302452316,"HMGCR"
"41",7,"S",4.82115085536547,"HMGCR"
"42",6,"S",4.90018148820327,"HMGCR"
"43",5,"S",5.22875816993464,"HMGCR"
"44",4,"S",5.99455040871935,"HMGCR"
"45",3,"S",6.90909090909091,"HMGCR"
"46",2,"S",7.06521739130435,"HMGCR"
"47",1,"S",6.52173913043478,"HMGCR"
"48",0.9,"S",7.2289156626506,"HMGCR"
"49",0.8,"S",5.40540540540541,"HMGCR"
"50",0.7,"S",6.25,"HMGCR"
"51",0.6,"S",7.27272727272727,"HMGCR"
"52",0.5,"S",6.52173913043478,"HMGCR"
"53",0.4,"S",2.7027027027027,"HMGCR"
"54",0.3,"S",3.57142857142857,"HMGCR"
"55",0.2,"S",5.55555555555556,"HMGCR"
"56",0.1,"S",11.1111111111111,"HMGCR"
"57",5,"RF5_xi",5.22875816993464,"HMGCR"
"58",4,"RF5_xi",3.81471389645777,"HMGCR"
"59",3,"RF5_xi",3.63636363636364,"HMGCR"
"60",2,"RF5_xi",1.6304347826087,"HMGCR"
"61",1,"RF5_xi",2.17391304347826,"HMGCR"
"62",0.9,"RF5_xi",2.40963855421687,"HMGCR"
"63",0.8,"RF5_xi",2.7027027027027,"HMGCR"
"64",0.7,"RF5_xi",3.125,"HMGCR"
"65",0.6,"RF5_xi",3.63636363636364,"HMGCR"
"66",0.5,"RF5_xi",4.34782608695652,"HMGCR"
"67",0.4,"RF5_xi",5.40540540540541,"HMGCR"
"68",0.3,"RF5_xi",7.14285714285714,"HMGCR"
"69",0.2,"RF5_xi",11.1111111111111,"HMGCR"
"70",0.1,"RF5_xi",0,"HMGCR"
"71",5,"RF5_xiii",5.22875816993464,"HMGCR"
"72",4,"RF5_xiii",4.35967302452316,"HMGCR"
"73",3,"RF5_xiii",2.90909090909091,"HMGCR"
"74",2,"RF5_xiii",1.6304347826087,"HMGCR"
"75",1,"RF5_xiii",3.26086956521739,"HMGCR"
"76",0.9,"RF5_xiii",3.6144578313253,"HMGCR"
"77",0.8,"RF5_xiii",2.7027027027027,"HMGCR"
"78",0.7,"RF5_xiii",3.125,"HMGCR"
"79",0.6,"RF5_xiii",3.63636363636364,"HMGCR"
"80",0.5,"RF5_xiii",4.34782608695652,"HMGCR"
"81",0.4,"RF5_xiii",5.40540540540541,"HMGCR"
"82",0.3,"RF5_xiii",0,"HMGCR"
"83",0.2,"RF5_xiii",0,"HMGCR"
"84",0.1,"RF5_xiii",0,"HMGCR"
"85",1,"RF1_xi",6.52173913043478,"HMGCR"
"86",0.9,"RF1_xi",4.8780487804878,"HMGCR"
"87",0.8,"RF1_xi",5.47945205479452,"HMGCR"
"88",0.7,"RF1_xi",6.25,"HMGCR"
"89",0.6,"RF1_xi",3.63636363636364,"HMGCR"
"90",0.5,"RF1_xi",2.17391304347826,"HMGCR"
"91",0.4,"RF1_xi",2.77777777777778,"HMGCR"
"92",0.3,"RF1_xi",0,"HMGCR"
"93",0.2,"RF1_xi",0,"HMGCR"
"94",0.1,"RF1_xi",0,"HMGCR"
"95",1,"RF1_xiii",6.52173913043478,"HMGCR"
"96",0.9,"RF1_xiii",6.09756097560976,"HMGCR"
"97",0.8,"RF1_xiii",5.47945205479452,"HMGCR"
"98",0.7,"RF1_xiii",6.25,"HMGCR"
"99",0.6,"RF1_xiii",3.63636363636364,"HMGCR"
"100",0.5,"RF1_xiii",2.17391304347826,"HMGCR"
"101",0.4,"RF1_xiii",2.77777777777778,"HMGCR"
"102",0.3,"RF1_xiii",0,"HMGCR"
"103",0.2,"RF1_xiii",0,"HMGCR"
"104",0.1,"RF1_xiii",0,"HMGCR"
"105",5,"NN5_xi",5.22875816993464,"HMGCR"
"106",4,"NN5_xi",4.63215258855586,"HMGCR"
"107",3,"NN5_xi",2.54545454545455,"HMGCR"
"108",2,"NN5_xi",1.6304347826087,"HMGCR"
"109",1,"NN5_xi",2.17391304347826,"HMGCR"
"110",0.9,"NN5_xi",2.40963855421687,"HMGCR"
"111",0.8,"NN5_xi",2.7027027027027,"HMGCR"
"112",0.7,"NN5_xi",3.125,"HMGCR"
"113",0.6,"NN5_xi",0,"HMGCR"
"114",0.5,"NN5_xi",0,"HMGCR"
"115",0.4,"NN5_xi",0,"HMGCR"
"116",0.3,"NN5_xi",0,"HMGCR"
"117",0.2,"NN5_xi",0,"HMGCR"
"118",0.1,"NN5_xi",0,"HMGCR"
"119",5,"NN5_xiii",5.22875816993464,"HMGCR"
"120",4,"NN5_xiii",4.08719346049046,"HMGCR"
