"","size","group","precision","target"
"1",100,"A",2.46694296427867,"HSP90"
"2",90,"A",2.58771929824561,"HSP90"
"3",80,"A",2.22002960039467,"HSP90"
"4",70,"A",1.94530589230336,"HSP90"
"5",60,"A",1.54605263157895,"HSP90"
"6",50,"A",1.26282557221784,"HSP90"
"7",40,"A",1.0853478046374,"HSP90"
"8",30,"A",0.263157894736842,"HSP90"
"9",20,"A",0.394866732477789,"HSP90"
"10",10,"A",0,"HSP90"
"11",9,"A",0,"HSP90"
"12",8,"A",0,"HSP90"
"13",7,"A",0,"HSP90"
"14",6,"A",0,"HSP90"
"15",5,"A",0,"HSP90"
"16",4,"A",0,"HSP90"
"17",3,"A",0,"HSP90"
"18",2,"A",0,"HSP90"
"19",1,"A",0,"HSP90"
"20",0.9,"A",0,"HSP90"
"21",0.8,"A",0,"HSP90"
"22",0.7,"A",0,"HSP90"
"23",0.6,"A",0,"HSP90"
"24",0.5,"A",0,"HSP90"
"25",0.4,"A",0,"HSP90"
"26",0.3,"A",0,"HSP90"
"27",0.2,"A",0,"HSP90"
"28",0.1,"A",0,"HSP90"
"29",100,"S",2.46694296427867,"HSP90"
"30",90,"S",2.71929824561404,"HSP90"
"31",80,"S",2.73803650715343,"HSP90"
"32",70,"S",2.84747674090781,"HSP90"
"33",60,"S",2.99342105263158,"HSP90"
"34",50,"S",3.23599052880821,"HSP90"
"35",40,"S",3.45337937839171,"HSP90"
"36",30,"S",3.75,"HSP90"
"37",20,"S",5.4294175715696,"HSP90"
"38",10,"S",9.07297830374753,"HSP90"
"39",9,"S",10.0877192982456,"HSP90"
"40",8,"S",11.3300492610837,"HSP90"
"41",7,"S",10.7042253521127,"HSP90"
"42",6,"S",9.21052631578947,"HSP90"
"43",5,"S",9.44881889763779,"HSP90"
"44",4,"S",7.88177339901478,"HSP90"
"45",3,"S",8.55263157894737,"HSP90"
"46",2,"S",12.8712871287129,"HSP90"
"47",1,"S",19.6078431372549,"HSP90"
"48",0.9,"S",21.7391304347826,"HSP90"
"49",0.8,"S",24.390243902439,"HSP90"
"50",0.7,"S",27.7777777777778,"HSP90"
"51",0.6,"S",22.5806451612903,"HSP90"
"52",0.5,"S",23.0769230769231,"HSP90"
"53",0.4,"S",30,"HSP90"
"54",0.3,"S",40,"HSP90"
"55",0.2,"S",40,"HSP90"
"56",0.1,"S",60,"HSP90"
"57",5,"RF5_xi",9.48616600790514,"HSP90"
"58",4,"RF5_xi",8.91089108910891,"HSP90"
"59",3,"RF5_xi",7.89473684210526,"HSP90"
"60",2,"RF5_xi",10.8910891089109,"HSP90"
