"","size","group","precision","target"
"1",100,"A",2.45012719239523,"MK14"
"2",90,"A",2.66884855697709,"MK14"
"3",80,"A",2.84844021957424,"MK14"
"4",70,"A",2.99135490781119,"MK14"
"5",60,"A",3.09724639621547,"MK14"
"6",50,"A",3.18658954584404,"MK14"
"7",40,"A",3.13964386129335,"MK14"
"8",30,"A",3.48982506247769,"MK14"
"9",20,"A",4.08354532065872,"MK14"
"10",10,"A",4.68666309587574,"MK14"
"11",9,"A",4.46295745313895,"MK14"
"12",8,"A",4.45262805490459,"MK14"
"13",7,"A",4.39938791124713,"MK14"
"14",6,"A",4.19642857142857,"MK14"
"15",5,"A",4.49919657204071,"MK14"
"16",4,"A",4.01606425702811,"MK14"
"17",3,"A",4.10714285714286,"MK14"
"18",2,"A",4.14993306559572,"MK14"
"19",1,"A",4.28954423592493,"MK14"
"20",0.9,"A",3.86904761904762,"MK14"
"21",0.8,"A",3.35570469798658,"MK14"
"22",0.7,"A",1.91570881226054,"MK14"
"23",0.6,"A",2.23214285714286,"MK14"
"24",0.5,"A",2.68817204301075,"MK14"
"25",0.4,"A",3.35570469798658,"MK14"
"26",0.3,"A",0,"MK14"
"27",0.2,"A",0,"MK14"
"28",0.1,"A",0,"MK14"
"29",100,"S",2.45012719239523,"MK14"
"30",90,"S",2.70752752157096,"MK14"
"31",80,"S",3.00240996117285,"MK14"
"32",70,"S",3.3279779664907,"MK14"
"33",60,"S",3.62833043245414,"MK14"
"34",50,"S",4.12382176520994,"MK14"
"35",40,"S",4.75967331637435,"MK14"
"36",30,"S",5.5872902534809,"MK14"
"37",20,"S",6.82822332306868,"MK14"
"38",10,"S",9.50723085163364,"MK14"
"39",9,"S",9.84825944659328,"MK14"
"40",8,"S",10.2109139604955,"MK14"
"41",7,"S",10.8263198163734,"MK14"
"42",6,"S",11.5178571428571,"MK14"
"43",5,"S",11.7300482056776,"MK14"
"44",4,"S",11.8473895582329,"MK14"
"45",3,"S",11.9642857142857,"MK14"
"46",2,"S",12.3159303882195,"MK14"
"47",1,"S",12.6005361930295,"MK14"
"48",0.9,"S",12.202380952381,"MK14"
"49",0.8,"S",13.0872483221477,"MK14"
"50",0.7,"S",14.5593869731801,"MK14"
"51",0.6,"S",15.625,"MK14"
"52",0.5,"S",16.1290322580645,"MK14"
"53",0.4,"S",18.7919463087248,"MK14"
"54",0.3,"S",24.1071428571429,"MK14"
"55",0.2,"S",29.3333333333333,"MK14"
"56",0.1,"S",45.9459459459459,"MK14"
"57",5,"RF5_xi",11.7300482056776,"MK14"
"58",4,"RF5_xi",13.3868808567604,"MK14"
"59",3,"RF5_xi",14.6428571428571,"MK14"
"60",2,"RF5_xi",17.9384203480589,"MK14"
"61",1,"RF5_xi",20.911528150134,"MK14"
"62",0.9,"RF5_xi",22.0238095238095,"MK14"
"63",0.8,"RF5_xi",24.496644295302,"MK14"
"64",0.7,"RF5_xi",26.0536398467433,"MK14"
"65",0.6,"RF5_xi",22.7678571428571,"MK14"
"66",0.5,"RF5_xi",23.6559139784946,"MK14"
"67",0.4,"RF5_xi",24.1610738255034,"MK14"
"68",0.3,"RF5_xi",25.8928571428571,"MK14"
"69",0.2,"RF5_xi",30.6666666666667,"MK14"
"70",0.1,"RF5_xi",43.2432432432432,"MK14"
"71",5,"RF5_xiii",11.7300482056776,"MK14"
"72",4,"RF5_xiii",13.2530120481928,"MK14"
"73",3,"RF5_xiii",14.6428571428571,"MK14"
"74",2,"RF5_xiii",16.1981258366801,"MK14"
"75",1,"RF5_xiii",21.1796246648794,"MK14"
"76",0.9,"RF5_xiii",22.9166666666667,"MK14"
"77",0.8,"RF5_xiii",23.8255033557047,"MK14"
"78",0.7,"RF5_xiii",24.1379310344828,"MK14"
"79",0.6,"RF5_xiii",21.875,"MK14"
"80",0.5,"RF5_xiii",20.4301075268817,"MK14"
"81",0.4,"RF5_xiii",23.489932885906,"MK14"
"82",0.3,"RF5_xiii",29.4642857142857,"MK14"
"83",0.2,"RF5_xiii",34.6666666666667,"MK14"
"84",0.1,"RF5_xiii",32.4324324324324,"MK14"
"85",1,"RF1_xi",12.6005361930295,"MK14"
"86",0.9,"RF1_xi",14.0298507462687,"MK14"
"87",0.8,"RF1_xi",15.1006711409396,"MK14"
"88",0.7,"RF1_xi",16.0919540229885,"MK14"
"89",0.6,"RF1_xi",17.0403587443946,"MK14"
"90",0.5,"RF1_xi",17.741935483871,"MK14"
"91",0.4,"RF1_xi",18.1208053691275,"MK14"
"92",0.3,"RF1_xi",22.5225225225225,"MK14"
"93",0.2,"RF1_xi",29.7297297297297,"MK14"
"94",0.1,"RF1_xi",45.9459459459459,"MK14"
"95",1,"RF1_xiii",12.6005361930295,"MK14"
"96",0.9,"RF1_xiii",14.0298507462687,"MK14"
"97",0.8,"RF1_xiii",15.1006711409396,"MK14"
"98",0.7,"RF1_xiii",15.7088122605364,"MK14"
"99",0.6,"RF1_xiii",16.1434977578475,"MK14"
"100",0.5,"RF1_xiii",19.3548387096774,"MK14"
"101",0.4,"RF1_xiii",22.1476510067114,"MK14"
"102",0.3,"RF1_xiii",28.8288288288288,"MK14"
"103",0.2,"RF1_xiii",33.7837837837838,"MK14"
"104",0.1,"RF1_xiii",45.9459459459459,"MK14"
"105",5,"NN5_xi",11.7300482056776,"MK14"
