"","size","group","precision","target"
"1",100,"A",2.38194600494366,"PARP1"
"2",90,"A",2.64659723213012,"PARP1"
"3",80,"A",2.96135789093536,"PARP1"
"4",70,"A",3.38438961753646,"PARP1"
"5",60,"A",3.91632336418597,"PARP1"
"6",50,"A",4.64817668207499,"PARP1"
"7",40,"A",5.56982343499197,"PARP1"
"8",30,"A",7.10540395933654,"PARP1"
"9",20,"A",9.63081861958266,"PARP1"
"10",10,"A",13.9967897271268,"PARP1"
"11",9,"A",14.7289586305278,"PARP1"
"12",8,"A",15.2086677367576,"PARP1"
"13",7,"A",16.2385321100917,"PARP1"
"14",6,"A",17.3354735152488,"PARP1"
"15",5,"A",18.8703465982028,"PARP1"
"16",4,"A",19.2616372391653,"PARP1"
"17",3,"A",20.9850107066381,"PARP1"
"18",2,"A",21.669341894061,"PARP1"
"19",1,"A",15.7051282051282,"PARP1"
"20",0.9,"A",15.3024911032028,"PARP1"
"21",0.8,"A",15.6,"PARP1"
"22",0.7,"A",15.1376146788991,"PARP1"
"23",0.6,"A",13.3689839572193,"PARP1"
"24",0.5,"A",13.4615384615385,"PARP1"
"25",0.4,"A",16.8,"PARP1"
"26",0.3,"A",11.7021276595745,"PARP1"
"27",0.2,"A",8.06451612903226,"PARP1"
"28",0.1,"A",6.45161290322581,"PARP1"
"29",100,"S",2.38194600494366,"PARP1"
"30",90,"S",2.59666143529747,"PARP1"
"31",80,"S",2.83696480879579,"PARP1"
"32",70,"S",3.11840777767587,"PARP1"
"33",60,"S",3.41340752233695,"PARP1"
"34",50,"S",3.60811504879301,"PARP1"
"35",40,"S",3.83627608346709,"PARP1"
"36",30,"S",4.08774745853398,"PARP1"
"37",20,"S",3.88443017656501,"PARP1"
"38",10,"S",3.91653290529695,"PARP1"
"39",9,"S",4.06562054208274,"PARP1"
"40",8,"S",4.01284109149278,"PARP1"
"41",7,"S",3.99082568807339,"PARP1"
"42",6,"S",4.01284109149278,"PARP1"
"43",5,"S",4.17201540436457,"PARP1"
"44",4,"S",4.17335473515249,"PARP1"
"45",3,"S",3.64025695931478,"PARP1"
"46",2,"S",3.85232744783307,"PARP1"
"47",1,"S",2.88461538461538,"PARP1"
"48",0.9,"S",2.84697508896797,"PARP1"
"49",0.8,"S",3.2,"PARP1"
"50",0.7,"S",3.6697247706422,"PARP1"
"51",0.6,"S",4.27807486631016,"PARP1"
"52",0.5,"S",5.12820512820513,"PARP1"
"53",0.4,"S",6.4,"PARP1"
"54",0.3,"S",7.4468085106383,"PARP1"
"55",0.2,"S",9.67741935483871,"PARP1"
"56",0.1,"S",3.2258064516129,"PARP1"
"57",5,"RF5_xi",4.17201540436457,"PARP1"
"58",4,"RF5_xi",4.97592295345104,"PARP1"
"59",3,"RF5_xi",5.66844919786096,"PARP1"
"60",2,"RF5_xi",8.18619582664527,"PARP1"
"61",1,"RF5_xi",11.2179487179487,"PARP1"
"62",0.9,"RF5_xi",10.6761565836299,"PARP1"
"63",0.8,"RF5_xi",11.2,"PARP1"
"64",0.7,"RF5_xi",10.5504587155963,"PARP1"
"65",0.6,"RF5_xi",10.1604278074866,"PARP1"
"66",0.5,"RF5_xi",11.5384615384615,"PARP1"
"67",0.4,"RF5_xi",13.6,"PARP1"
"68",0.3,"RF5_xi",8.51063829787234,"PARP1"
"69",0.2,"RF5_xi",12.9032258064516,"PARP1"
"70",0.1,"RF5_xi",25.8064516129032,"PARP1"
"71",5,"RF5_xiii",4.17201540436457,"PARP1"
"72",4,"RF5_xiii",4.97592295345104,"PARP1"
"73",3,"RF5_xiii",5.98930481283422,"PARP1"
"74",2,"RF5_xiii",8.02568218298555,"PARP1"
"75",1,"RF5_xiii",10.8974358974359,"PARP1"
"76",0.9,"RF5_xiii",11.3879003558719,"PARP1"
"77",0.8,"RF5_xiii",11.6,"PARP1"
"78",0.7,"RF5_xiii",12.8440366972477,"PARP1"
"79",0.6,"RF5_xiii",13.3689839572193,"PARP1"
"80",0.5,"RF5_xiii",13.4615384615385,"PARP1"
"81",0.4,"RF5_xiii",14.4,"PARP1"
"82",0.3,"RF5_xiii",19.1489361702128,"PARP1"
"83",0.2,"RF5_xiii",20.9677419354839,"PARP1"
"84",0.1,"RF5_xiii",35.4838709677419,"PARP1"
"85",1,"RF1_xi",2.88461538461538,"PARP1"
"86",0.9,"RF1_xi",3.21428571428571,"PARP1"
"87",0.8,"RF1_xi",3.6144578313253,"PARP1"
"88",0.7,"RF1_xi",4.12844036697248,"PARP1"
"89",0.6,"RF1_xi",4.27807486631016,"PARP1"
"90",0.5,"RF1_xi",5.12820512820513,"PARP1"
"91",0.4,"RF1_xi",5.64516129032258,"PARP1"
"92",0.3,"RF1_xi",5.37634408602151,"PARP1"
"93",0.2,"RF1_xi",8.06451612903226,"PARP1"
"94",0.1,"RF1_xi",9.67741935483871,"PARP1"
"95",1,"RF1_xiii",2.88461538461538,"PARP1"
"96",0.9,"RF1_xiii",3.21428571428571,"PARP1"
"97",0.8,"RF1_xiii",3.6144578313253,"PARP1"
"98",0.7,"RF1_xiii",4.12844036697248,"PARP1"
"99",0.6,"RF1_xiii",4.27807486631016,"PARP1"
"100",0.5,"RF1_xiii",5.12820512820513,"PARP1"
"101",0.4,"RF1_xiii",5.64516129032258,"PARP1"
"102",0.3,"RF1_xiii",7.52688172043011,"PARP1"
"103",0.2,"RF1_xiii",9.67741935483871,"PARP1"
"104",0.1,"RF1_xiii",12.9032258064516,"PARP1"
"105",5,"NN5_xi",4.17201540436457,"PARP1"
"106",4,"NN5_xi",5.13643659711075,"PARP1"
"107",3,"NN5_xi",6.63101604278075,"PARP1"
"108",2,"NN5_xi",8.6677367576244,"PARP1"
"109",1,"NN5_xi",10.8974358974359,"PARP1"
"110",0.9,"NN5_xi",11.7437722419929,"PARP1"
"111",0.8,"NN5_xi",13.2,"PARP1"
"112",0.7,"NN5_xi",12.8440366972477,"PARP1"
"113",0.6,"NN5_xi",12.2994652406417,"PARP1"
"114",0.5,"NN5_xi",13.4615384615385,"PARP1"
"115",0.4,"NN5_xi",14.4,"PARP1"
"116",0.3,"NN5_xi",15.9574468085106,"PARP1"
"117",0.2,"NN5_xi",22.5806451612903,"PARP1"
"118",0.1,"NN5_xi",22.5806451612903,"PARP1"
"119",5,"NN5_xiii",4.17201540436457,"PARP1"
