"","size","group","precision","target"
"1",100,"A",3.216011042098,"PNP"
"2",90,"A",3.57361963190184,"PNP"
"3",80,"A",4.0200138026225,"PNP"
"4",70,"A",4.59384858044164,"PNP"
"5",60,"A",5.36001840349666,"PNP"
"6",50,"A",6.35008282716731,"PNP"
"7",40,"A",7.72946859903382,"PNP"
"8",30,"A",9.93560257589696,"PNP"
"9",20,"A",12.008281573499,"PNP"
"10",10,"A",19.6132596685083,"PNP"
"11",9,"A",20.8588957055215,"PNP"
"12",8,"A",22.9706390328152,"PNP"
"13",7,"A",25.2465483234714,"PNP"
"14",6,"A",26.7281105990783,"PNP"
"15",5,"A",29.2817679558011,"PNP"
"16",4,"A",34.1379310344828,"PNP"
"17",3,"A",37.3271889400922,"PNP"
"18",2,"A",27.5862068965517,"PNP"
"19",1,"A",26.3888888888889,"PNP"
"20",0.9,"A",29.2307692307692,"PNP"
"21",0.8,"A",32.7586206896552,"PNP"
"22",0.7,"A",32,"PNP"
"23",0.6,"A",37.2093023255814,"PNP"
"24",0.5,"A",36.1111111111111,"PNP"
"25",0.4,"A",34.4827586206897,"PNP"
"26",0.3,"A",27.2727272727273,"PNP"
"27",0.2,"A",14.2857142857143,"PNP"
"28",0.1,"A",0,"PNP"
"29",100,"S",3.216011042098,"PNP"
"30",90,"S",3.42024539877301,"PNP"
"31",80,"S",3.81297446514838,"PNP"
"32",70,"S",4.02208201892744,"PNP"
"33",60,"S",3.93374741200828,"PNP"
"34",50,"S",3.83765875207068,"PNP"
"35",40,"S",3.93374741200828,"PNP"
"36",30,"S",3.81784728610856,"PNP"
"37",20,"S",3.24361628709455,"PNP"
"38",10,"S",1.79558011049724,"PNP"
"39",9,"S",1.99386503067485,"PNP"
"40",8,"S",1.55440414507772,"PNP"
"41",7,"S",1.38067061143984,"PNP"
"42",6,"S",0.691244239631336,"PNP"
"43",5,"S",0.828729281767956,"PNP"
"44",4,"S",1.03448275862069,"PNP"
"45",3,"S",0.921658986175115,"PNP"
"46",2,"S",1.37931034482759,"PNP"
"47",1,"S",0,"PNP"
"48",0.9,"S",0,"PNP"
"49",0.8,"S",0,"PNP"
"50",0.7,"S",0,"PNP"
"51",0.6,"S",0,"PNP"
"52",0.5,"S",0,"PNP"
"53",0.4,"S",0,"PNP"
"54",0.3,"S",0,"PNP"
"55",0.2,"S",0,"PNP"
"56",0.1,"S",0,"PNP"
"57",5,"RF5_xi",0.828729281767956,"PNP"
"58",4,"RF5_xi",1.03448275862069,"PNP"
"59",3,"RF5_xi",1.38248847926267,"PNP"
"60",2,"RF5_xi",2.06896551724138,"PNP"
"61",1,"RF5_xi",0,"PNP"
"62",0.9,"RF5_xi",0,"PNP"
"63",0.8,"RF5_xi",0,"PNP"
"64",0.7,"RF5_xi",0,"PNP"
"65",0.6,"RF5_xi",0,"PNP"
"66",0.5,"RF5_xi",0,"PNP"
"67",0.4,"RF5_xi",0,"PNP"
