"","size","group","precision","target"
"1",100,"A",2.7190673185408,"PPARG"
"2",90,"A",2.96268438427145,"PPARG"
"3",80,"A",3.21079353140278,"PPARG"
"4",70,"A",3.43845699242465,"PPARG"
"5",60,"A",3.63545192428231,"PPARG"
"6",50,"A",3.94885295223768,"PPARG"
"7",40,"A",4.10868747649492,"PPARG"
"8",30,"A",4.26225398019306,"PPARG"
"9",20,"A",3.91124482888304,"PPARG"
"10",10,"A",3.53516359533659,"PPARG"
"11",9,"A",3.80275804429586,"PPARG"
"12",8,"A",3.94922425952045,"PPARG"
"13",7,"A",3.65394948952176,"PPARG"
"14",6,"A",3.57366771159875,"PPARG"
"15",5,"A",3.38345864661654,"PPARG"
"16",4,"A",3.57142857142857,"PPARG"
"17",3,"A",2.5062656641604,"PPARG"
"18",2,"A",1.31578947368421,"PPARG"
"19",1,"A",0,"PPARG"
"20",0.9,"A",0,"PPARG"
"21",0.8,"A",0,"PPARG"
"22",0.7,"A",0,"PPARG"
"23",0.6,"A",0,"PPARG"
"24",0.5,"A",0,"PPARG"
"25",0.4,"A",0,"PPARG"
"26",0.3,"A",0,"PPARG"
"27",0.2,"A",0,"PPARG"
"28",0.1,"A",0,"PPARG"
"29",100,"S",2.7190673185408,"PPARG"
"30",90,"S",2.89582549830763,"PPARG"
"31",80,"S",2.81590823617901,"PPARG"
"32",70,"S",2.82060925159835,"PPARG"
"33",60,"S",2.73285696377084,"PPARG"
"34",50,"S",2.64761188416698,"PPARG"
"35",40,"S",2.51974426476119,"PPARG"
"36",30,"S",2.45706405917011,"PPARG"
"37",20,"S",2.51974426476119,"PPARG"
"38",10,"S",3.42233922527266,"PPARG"
"39",9,"S",3.59381529460928,"PPARG"
"40",8,"S",3.71415138692995,"PPARG"
"41",7,"S",3.70768404083826,"PPARG"
"42",6,"S",3.76175548589342,"PPARG"
"43",5,"S",3.7593984962406,"PPARG"
"44",4,"S",4.22932330827068,"PPARG"
"45",3,"S",4.76190476190476,"PPARG"
"46",2,"S",5.45112781954887,"PPARG"
"47",1,"S",7.14285714285714,"PPARG"
"48",0.9,"S",7.53138075313807,"PPARG"
"49",0.8,"S",7.981220657277,"PPARG"
"50",0.7,"S",7.52688172043011,"PPARG"
"51",0.6,"S",8.75,"PPARG"
"52",0.5,"S",10.5263157894737,"PPARG"
"53",0.4,"S",13.2075471698113,"PPARG"
"54",0.3,"S",16.25,"PPARG"
"55",0.2,"S",24.5283018867925,"PPARG"
"56",0.1,"S",29.6296296296296,"PPARG"
"57",5,"RF5_xi",3.7593984962406,"PPARG"
"58",4,"RF5_xi",3.94736842105263,"PPARG"
"59",3,"RF5_xi",4.26065162907268,"PPARG"
"60",2,"RF5_xi",4.51127819548872,"PPARG"
