"","size","group","precision","target"
"1",100,"A",2.05871139916127,"RXRA"
"2",90,"A",2.16040666478396,"RXRA"
"3",80,"A",2.41461477362986,"RXRA"
"4",70,"A",2.7596223674655,"RXRA"
"5",60,"A",3.15611099343359,"RXRA"
"6",50,"A",3.76207422470768,"RXRA"
"7",40,"A",4.51080050825921,"RXRA"
"8",30,"A",5.84498094027954,"RXRA"
"9",20,"A",8.32274459974587,"RXRA"
"10",10,"A",15.3748411689962,"RXRA"
"11",9,"A",16.6666666666667,"RXRA"
"12",8,"A",17.6190476190476,"RXRA"
"13",7,"A",19.7822141560799,"RXRA"
"14",6,"A",22.0338983050847,"RXRA"
"15",5,"A",23.0964467005076,"RXRA"
"16",4,"A",27.3015873015873,"RXRA"
"17",3,"A",33.0508474576271,"RXRA"
"18",2,"A",40.7643312101911,"RXRA"
"19",1,"A",40.5063291139241,"RXRA"
"20",0.9,"A",42.2535211267606,"RXRA"
"21",0.8,"A",46.031746031746,"RXRA"
"22",0.7,"A",47.2727272727273,"RXRA"
"23",0.6,"A",51.063829787234,"RXRA"
"24",0.5,"A",50,"RXRA"
"25",0.4,"A",46.875,"RXRA"
"26",0.3,"A",45.8333333333333,"RXRA"
"27",0.2,"A",56.25,"RXRA"
"28",0.1,"A",50,"RXRA"
"29",100,"S",2.05871139916127,"RXRA"
"30",90,"S",1.59559446484044,"RXRA"
"31",80,"S",1.42970611596505,"RXRA"
"32",70,"S",1.30718954248366,"RXRA"
"33",60,"S",1.41919084939631,"RXRA"
"34",50,"S",1.2709710218607,"RXRA"
"35",40,"S",1.11181702668361,"RXRA"
"36",30,"S",1.35535789919526,"RXRA"
"37",20,"S",1.46124523506989,"RXRA"
"38",10,"S",2.54129606099111,"RXRA"
"39",9,"S",2.68361581920904,"RXRA"
"40",8,"S",3.01587301587302,"RXRA"
"41",7,"S",3.08529945553539,"RXRA"
"42",6,"S",3.60169491525424,"RXRA"
"43",5,"S",4.31472081218274,"RXRA"
"44",4,"S",5.3968253968254,"RXRA"
"45",3,"S",6.77966101694915,"RXRA"
"46",2,"S",10.1910828025478,"RXRA"
"47",1,"S",10.126582278481,"RXRA"
"48",0.9,"S",11.2676056338028,"RXRA"
"49",0.8,"S",9.52380952380952,"RXRA"
"50",0.7,"S",7.27272727272727,"RXRA"
