"","size","group","precision","target"
"1",100,"A",2.32187761944677,"SRC"
"2",90,"A",2.56434137406476,"SRC"
"3",80,"A",2.7661357921207,"SRC"
"4",70,"A",3.03756037201134,"SRC"
"5",60,"A",3.2550991897178,"SRC"
"6",50,"A",3.52612461581447,"SRC"
"7",40,"A",3.86979603241129,"SRC"
"8",30,"A",4.30287789885443,"SRC"
"9",20,"A",5.19698239731769,"SRC"
"10",10,"A",6.81754680078234,"SRC"
"11",9,"A",7.17168581185967,"SRC"
"12",8,"A",7.2651065316102,"SRC"
"13",7,"A",7.30538922155689,"SRC"
"14",6,"A",7.03306939916162,"SRC"
"15",5,"A",7.26256983240223,"SRC"
"16",4,"A",7.89106145251397,"SRC"
"17",3,"A",8.37988826815642,"SRC"
"18",2,"A",8.37988826815642,"SRC"
"19",1,"A",9.21787709497207,"SRC"
"20",0.9,"A",9.62732919254658,"SRC"
"21",0.8,"A",9.44055944055944,"SRC"
"22",0.7,"A",6.77290836653386,"SRC"
"23",0.6,"A",7.90697674418605,"SRC"
"24",0.5,"A",8.37988826815642,"SRC"
"25",0.4,"A",6.29370629370629,"SRC"
"26",0.3,"A",8.41121495327103,"SRC"
"27",0.2,"A",6.94444444444444,"SRC"
"28",0.1,"A",0,"SRC"
"29",100,"S",2.32187761944677,"SRC"
"30",90,"S",2.51777343143647,"SRC"
"31",80,"S",2.71025426096675,"SRC"
"32",70,"S",3.04554344789047,"SRC"
"33",60,"S",3.38083263481419,"SRC"
"34",50,"S",3.81112042469964,"SRC"
"35",40,"S",4.2190556021235,"SRC"
"36",30,"S",4.64748067430381,"SRC"
"37",20,"S",4.95948588991338,"SRC"
"38",10,"S",5.86756077116513,"SRC"
"39",9,"S",5.92983545482769,"SRC"
"40",8,"S",6.32203981837234,"SRC"
"41",7,"S",6.86626746506986,"SRC"
"42",6,"S",7.49883558453656,"SRC"
"43",5,"S",8.10055865921788,"SRC"
"44",4,"S",9.14804469273743,"SRC"
"45",3,"S",11.0800744878957,"SRC"
"46",2,"S",12.5698324022346,"SRC"
"47",1,"S",17.0391061452514,"SRC"
"48",0.9,"S",18.0124223602484,"SRC"
"49",0.8,"S",19.9300699300699,"SRC"
"50",0.7,"S",22.3107569721116,"SRC"
"51",0.6,"S",25.5813953488372,"SRC"
"52",0.5,"S",27.9329608938547,"SRC"
"53",0.4,"S",31.4685314685315,"SRC"
"54",0.3,"S",31.7757009345794,"SRC"
"55",0.2,"S",44.4444444444444,"SRC"
"56",0.1,"S",77.7777777777778,"SRC"
"57",5,"RF5_xi",8.10055865921788,"SRC"
"58",4,"RF5_xi",9.91620111731844,"SRC"
"59",3,"RF5_xi",12.1973929236499,"SRC"
"60",2,"RF5_xi",16.6201117318436,"SRC"
"61",1,"RF5_xi",22.0670391061453,"SRC"
"62",0.9,"RF5_xi",23.6024844720497,"SRC"
"63",0.8,"RF5_xi",25.8741258741259,"SRC"
"64",0.7,"RF5_xi",26.6932270916335,"SRC"
"65",0.6,"RF5_xi",30.2325581395349,"SRC"
"66",0.5,"RF5_xi",34.0782122905028,"SRC"
"67",0.4,"RF5_xi",35.6643356643357,"SRC"
"68",0.3,"RF5_xi",39.2523364485981,"SRC"
"69",0.2,"RF5_xi",48.6111111111111,"SRC"
"70",0.1,"RF5_xi",75,"SRC"
"71",5,"RF5_xiii",8.10055865921788,"SRC"
"72",4,"RF5_xiii",9.98603351955307,"SRC"
"73",3,"RF5_xiii",12.2905027932961,"SRC"
"74",2,"RF5_xiii",16.340782122905,"SRC"
"75",1,"RF5_xiii",21.7877094972067,"SRC"
"76",0.9,"RF5_xiii",23.2919254658385,"SRC"
"77",0.8,"RF5_xiii",25.5244755244755,"SRC"
"78",0.7,"RF5_xiii",26.6932270916335,"SRC"
"79",0.6,"RF5_xiii",28.8372093023256,"SRC"
"80",0.5,"RF5_xiii",31.8435754189944,"SRC"
"81",0.4,"RF5_xiii",35.6643356643357,"SRC"
"82",0.3,"RF5_xiii",41.1214953271028,"SRC"
"83",0.2,"RF5_xiii",52.7777777777778,"SRC"
"84",0.1,"RF5_xiii",61.1111111111111,"SRC"
"85",1,"RF1_xi",17.0391061452514,"SRC"
"86",0.9,"RF1_xi",18.944099378882,"SRC"
"87",0.8,"RF1_xi",21.3286713286713,"SRC"
"88",0.7,"RF1_xi",24.4,"SRC"
"89",0.6,"RF1_xi",27.1028037383178,"SRC"
"90",0.5,"RF1_xi",28.4916201117318,"SRC"
"91",0.4,"RF1_xi",34.2657342657343,"SRC"
"92",0.3,"RF1_xi",42.9906542056075,"SRC"
"93",0.2,"RF1_xi",52.112676056338,"SRC"
"94",0.1,"RF1_xi",74.2857142857143,"SRC"
"95",1,"RF1_xiii",17.0391061452514,"SRC"
"96",0.9,"RF1_xiii",18.944099378882,"SRC"
"97",0.8,"RF1_xiii",21.3286713286713,"SRC"
"98",0.7,"RF1_xiii",23.6,"SRC"
"99",0.6,"RF1_xiii",27.1028037383178,"SRC"
"100",0.5,"RF1_xiii",30.7262569832402,"SRC"
"101",0.4,"RF1_xiii",32.8671328671329,"SRC"
"102",0.3,"RF1_xiii",40.1869158878505,"SRC"
"103",0.2,"RF1_xiii",52.112676056338,"SRC"
"104",0.1,"RF1_xiii",68.5714285714286,"SRC"
"105",5,"NN5_xi",8.10055865921788,"SRC"
"106",4,"NN5_xi",9.77653631284916,"SRC"
"107",3,"NN5_xi",11.0800744878957,"SRC"
"108",2,"NN5_xi",15.2234636871508,"SRC"
"109",1,"NN5_xi",22.9050279329609,"SRC"
"110",0.9,"NN5_xi",24.8447204968944,"SRC"
"111",0.8,"NN5_xi",27.6223776223776,"SRC"
"112",0.7,"NN5_xi",29.8804780876494,"SRC"
"113",0.6,"NN5_xi",32.093023255814,"SRC"
"114",0.5,"NN5_xi",31.2849162011173,"SRC"
"115",0.4,"NN5_xi",31.4685314685315,"SRC"
"116",0.3,"NN5_xi",33.6448598130841,"SRC"
"117",0.2,"NN5_xi",38.8888888888889,"SRC"
"118",0.1,"NN5_xi",58.3333333333333,"SRC"
"119",5,"NN5_xiii",8.10055865921788,"SRC"
"120",4,"NN5_xiii",10.0558659217877,"SRC"
"121",3,"NN5_xiii",12.5698324022346,"SRC"
"122",2,"NN5_xiii",16.4804469273743,"SRC"
"123",1,"NN5_xiii",22.3463687150838,"SRC"
"124",0.9,"NN5_xiii",23.6024844720497,"SRC"
"125",0.8,"NN5_xiii",25.5244755244755,"SRC"
"126",0.7,"NN5_xiii",28.2868525896414,"SRC"
"127",0.6,"NN5_xiii",30.6976744186047,"SRC"
"128",0.5,"NN5_xiii",34.0782122905028,"SRC"
"129",0.4,"NN5_xiii",37.7622377622378,"SRC"
