"","size","group","precision","target"
"1",100,"A",3.05524999112877,"Thrombin"
"2",90,"A",3.37499507156094,"Thrombin"
"3",80,"A",3.76136615657574,"Thrombin"
"4",70,"A",4.27840016221422,"Thrombin"
"5",60,"A",4.82583239694837,"Thrombin"
"6",50,"A",5.57132718239886,"Thrombin"
"7",40,"A",6.59155429382541,"Thrombin"
"8",30,"A",7.72415424651053,"Thrombin"
"9",20,"A",8.53442157558552,"Thrombin"
"10",10,"A",10.5393896380412,"Thrombin"
"11",9,"A",10.7255520504732,"Thrombin"
"12",8,"A",11.4019520851819,"Thrombin"
"13",7,"A",11.8601115053218,"Thrombin"
"14",6,"A",12.0638675340035,"Thrombin"
"15",5,"A",12.6330731014904,"Thrombin"
"16",4,"A",13.0434782608696,"Thrombin"
"17",3,"A",16.2130177514793,"Thrombin"
"18",2,"A",18.4397163120567,"Thrombin"
"19",1,"A",16.6666666666667,"Thrombin"
"20",0.9,"A",18.503937007874,"Thrombin"
"21",0.8,"A",18.5840707964602,"Thrombin"
"22",0.7,"A",19.2893401015228,"Thrombin"
"23",0.6,"A",22.4852071005917,"Thrombin"
"24",0.5,"A",22.6950354609929,"Thrombin"
"25",0.4,"A",25.6637168141593,"Thrombin"
"26",0.3,"A",23.5294117647059,"Thrombin"
"27",0.2,"A",14.2857142857143,"Thrombin"
"28",0.1,"A",14.2857142857143,"Thrombin"
"29",100,"S",3.05524999112877,"Thrombin"
"30",90,"S",3.30008279777629,"Thrombin"
"31",80,"S",3.30450210689732,"Thrombin"
"32",70,"S",3.19866173265068,"Thrombin"
"33",60,"S",3.08711337157727,"Thrombin"
"34",50,"S",2.89567068843151,"Thrombin"
"35",40,"S",2.6792051100071,"Thrombin"
"36",30,"S",2.11734090371422,"Thrombin"
"37",20,"S",1.93399574166075,"Thrombin"
"38",10,"S",1.80979418026969,"Thrombin"
"39",9,"S",1.81388012618297,"Thrombin"
"40",8,"S",1.90771960958296,"Thrombin"
"41",7,"S",2.07805372529143,"Thrombin"
"42",6,"S",2.18805440567711,"Thrombin"
"43",5,"S",2.34208658623137,"Thrombin"
"44",4,"S",2.66193433895297,"Thrombin"
"45",3,"S",2.1301775147929,"Thrombin"
"46",2,"S",1.77304964539007,"Thrombin"
"47",1,"S",0.709219858156028,"Thrombin"
"48",0.9,"S",0.78740157480315,"Thrombin"
"49",0.8,"S",0.442477876106195,"Thrombin"
"50",0.7,"S",0,"Thrombin"
"51",0.6,"S",0,"Thrombin"
"52",0.5,"S",0,"Thrombin"
"53",0.4,"S",0,"Thrombin"
"54",0.3,"S",0,"Thrombin"
"55",0.2,"S",0,"Thrombin"
"56",0.1,"S",0,"Thrombin"
"57",5,"RF5_xi",2.34208658623137,"Thrombin"
"58",4,"RF5_xi",2.8393966282165,"Thrombin"
"59",3,"RF5_xi",3.66863905325444,"Thrombin"
"60",2,"RF5_xi",3.72340425531915,"Thrombin"
"61",1,"RF5_xi",4.25531914893617,"Thrombin"
"62",0.9,"RF5_xi",4.7244094488189,"Thrombin"
"63",0.8,"RF5_xi",4.86725663716814,"Thrombin"
"64",0.7,"RF5_xi",5.0761421319797,"Thrombin"
"65",0.6,"RF5_xi",4.14201183431953,"Thrombin"
"66",0.5,"RF5_xi",4.9645390070922,"Thrombin"
"67",0.4,"RF5_xi",4.42477876106195,"Thrombin"
"68",0.3,"RF5_xi",5.88235294117647,"Thrombin"
"69",0.2,"RF5_xi",8.92857142857143,"Thrombin"
"70",0.1,"RF5_xi",3.57142857142857,"Thrombin"
"71",5,"RF5_xiii",2.34208658623137,"Thrombin"
"72",4,"RF5_xiii",2.8393966282165,"Thrombin"
"73",3,"RF5_xiii",3.31360946745562,"Thrombin"
"74",2,"RF5_xiii",3.54609929078014,"Thrombin"
"75",1,"RF5_xiii",3.19148936170213,"Thrombin"
"76",0.9,"RF5_xiii",3.1496062992126,"Thrombin"
"77",0.8,"RF5_xiii",3.53982300884956,"Thrombin"
"78",0.7,"RF5_xiii",4.06091370558376,"Thrombin"
"79",0.6,"RF5_xiii",4.14201183431953,"Thrombin"
"80",0.5,"RF5_xiii",4.9645390070922,"Thrombin"
"81",0.4,"RF5_xiii",6.19469026548673,"Thrombin"
"82",0.3,"RF5_xiii",8.23529411764706,"Thrombin"
"83",0.2,"RF5_xiii",12.5,"Thrombin"
"84",0.1,"RF5_xiii",7.14285714285714,"Thrombin"
"85",1,"RF1_xi",0.709219858156028,"Thrombin"
"86",0.9,"RF1_xi",0.790513833992095,"Thrombin"
"87",0.8,"RF1_xi",0.888888888888889,"Thrombin"
"88",0.7,"RF1_xi",1.01522842639594,"Thrombin"
"89",0.6,"RF1_xi",1.18343195266272,"Thrombin"
"90",0.5,"RF1_xi",1.41843971631206,"Thrombin"
"91",0.4,"RF1_xi",0,"Thrombin"
"92",0.3,"RF1_xi",0,"Thrombin"
"93",0.2,"RF1_xi",0,"Thrombin"
"94",0.1,"RF1_xi",0,"Thrombin"
"95",1,"RF1_xiii",0.709219858156028,"Thrombin"
"96",0.9,"RF1_xiii",0.790513833992095,"Thrombin"
"97",0.8,"RF1_xiii",0.888888888888889,"Thrombin"
"98",0.7,"RF1_xiii",1.01522842639594,"Thrombin"
"99",0.6,"RF1_xiii",0.591715976331361,"Thrombin"
