"","size","group","precision","target"
"1",100,"A",2.39382239382239,"VGFR2"
"2",90,"A",2.6040326040326,"VGFR2"
"3",80,"A",2.90540540540541,"VGFR2"
"4",70,"A",3.24875896304468,"VGFR2"
"5",60,"A",3.57142857142857,"VGFR2"
"6",50,"A",4.03088803088803,"VGFR2"
"7",40,"A",4.56563706563707,"VGFR2"
"8",30,"A",5.00643500643501,"VGFR2"
"9",20,"A",6.04247104247104,"VGFR2"
"10",10,"A",7.49034749034749,"VGFR2"
"11",9,"A",7.46460746460746,"VGFR2"
"12",8,"A",7.48069498069498,"VGFR2"
"13",7,"A",7.8323221180364,"VGFR2"
"14",6,"A",7.72200772200772,"VGFR2"
"15",5,"A",7.33590733590734,"VGFR2"
"16",4,"A",6.94980694980695,"VGFR2"
"17",3,"A",7.59330759330759,"VGFR2"
"18",2,"A",9.07335907335907,"VGFR2"
"19",1,"A",13.8996138996139,"VGFR2"
"20",0.9,"A",15.450643776824,"VGFR2"
"21",0.8,"A",15.9420289855072,"VGFR2"
"22",0.7,"A",17.1270718232044,"VGFR2"
"23",0.6,"A",18.7096774193548,"VGFR2"
"24",0.5,"A",19.2307692307692,"VGFR2"
"25",0.4,"A",21.1538461538462,"VGFR2"
"26",0.3,"A",17.9487179487179,"VGFR2"
"27",0.2,"A",23.0769230769231,"VGFR2"
"28",0.1,"A",23.0769230769231,"VGFR2"
"29",100,"S",2.39382239382239,"VGFR2"
"30",90,"S",2.56542256542257,"VGFR2"
"31",80,"S",2.88610038610039,"VGFR2"
"32",70,"S",3.26530612244898,"VGFR2"
"33",60,"S",3.73230373230373,"VGFR2"
"34",50,"S",4.20849420849421,"VGFR2"
"35",40,"S",4.85521235521236,"VGFR2"
"36",30,"S",5.84298584298584,"VGFR2"
"37",20,"S",7.2007722007722,"VGFR2"
"38",10,"S",10.3474903474903,"VGFR2"
"39",9,"S",11.025311025311,"VGFR2"
"40",8,"S",11.6795366795367,"VGFR2"
"41",7,"S",12.7964699393271,"VGFR2"
"42",6,"S",14.6074646074646,"VGFR2"
"43",5,"S",15.5212355212355,"VGFR2"
"44",4,"S",16.4092664092664,"VGFR2"
"45",3,"S",20.0772200772201,"VGFR2"
"46",2,"S",22.972972972973,"VGFR2"
"47",1,"S",29.7297297297297,"VGFR2"
"48",0.9,"S",30.9012875536481,"VGFR2"
"49",0.8,"S",27.536231884058,"VGFR2"
"50",0.7,"S",26.5193370165746,"VGFR2"
"51",0.6,"S",26.4516129032258,"VGFR2"
"52",0.5,"S",26.1538461538462,"VGFR2"
"53",0.4,"S",24.0384615384615,"VGFR2"
"54",0.3,"S",23.0769230769231,"VGFR2"
"55",0.2,"S",26.9230769230769,"VGFR2"
"56",0.1,"S",53.8461538461538,"VGFR2"
"57",5,"RF5_xi",15.5212355212355,"VGFR2"
"58",4,"RF5_xi",19.4015444015444,"VGFR2"
"59",3,"RF5_xi",24.3243243243243,"VGFR2"
"60",2,"RF5_xi",30.5019305019305,"VGFR2"
"61",1,"RF5_xi",34.3629343629344,"VGFR2"
"62",0.9,"RF5_xi",34.7639484978541,"VGFR2"
"63",0.8,"RF5_xi",37.1980676328502,"VGFR2"
"64",0.7,"RF5_xi",37.5690607734807,"VGFR2"
"65",0.6,"RF5_xi",39.3548387096774,"VGFR2"
"66",0.5,"RF5_xi",40,"VGFR2"
"67",0.4,"RF5_xi",45.1923076923077,"VGFR2"
"68",0.3,"RF5_xi",46.1538461538462,"VGFR2"
"69",0.2,"RF5_xi",50,"VGFR2"
"70",0.1,"RF5_xi",42.3076923076923,"VGFR2"
"71",5,"RF5_xiii",15.5212355212355,"VGFR2"
"72",4,"RF5_xiii",19.2084942084942,"VGFR2"
"73",3,"RF5_xiii",23.6808236808237,"VGFR2"
"74",2,"RF5_xiii",31.6602316602317,"VGFR2"
"75",1,"RF5_xiii",35.1351351351351,"VGFR2"
"76",0.9,"RF5_xiii",35.1931330472103,"VGFR2"
"77",0.8,"RF5_xiii",37.1980676328502,"VGFR2"
"78",0.7,"RF5_xiii",39.7790055248619,"VGFR2"
"79",0.6,"RF5_xiii",40.6451612903226,"VGFR2"
"80",0.5,"RF5_xiii",43.8461538461538,"VGFR2"
"81",0.4,"RF5_xiii",39.4230769230769,"VGFR2"
"82",0.3,"RF5_xiii",42.3076923076923,"VGFR2"
"83",0.2,"RF5_xiii",53.8461538461538,"VGFR2"
"84",0.1,"RF5_xiii",53.8461538461538,"VGFR2"
"85",1,"RF1_xi",29.7297297297297,"VGFR2"
"86",0.9,"RF1_xi",32.618025751073,"VGFR2"
"87",0.8,"RF1_xi",36.231884057971,"VGFR2"
"88",0.7,"RF1_xi",37.5690607734807,"VGFR2"
"89",0.6,"RF1_xi",38.0645161290323,"VGFR2"
"90",0.5,"RF1_xi",42.6356589147287,"VGFR2"
"91",0.4,"RF1_xi",42.7184466019417,"VGFR2"
"92",0.3,"RF1_xi",44.1558441558442,"VGFR2"
"93",0.2,"RF1_xi",54.9019607843137,"VGFR2"
"94",0.1,"RF1_xi",76,"VGFR2"
"95",1,"RF1_xiii",29.7297297297297,"VGFR2"
"96",0.9,"RF1_xiii",32.1888412017167,"VGFR2"
"97",0.8,"RF1_xiii",35.7487922705314,"VGFR2"
"98",0.7,"RF1_xiii",38.121546961326,"VGFR2"
"99",0.6,"RF1_xiii",37.4193548387097,"VGFR2"
"100",0.5,"RF1_xiii",40.3100775193798,"VGFR2"
"101",0.4,"RF1_xiii",39.8058252427184,"VGFR2"
"102",0.3,"RF1_xiii",49.3506493506493,"VGFR2"
"103",0.2,"RF1_xiii",62.7450980392157,"VGFR2"
"104",0.1,"RF1_xiii",72,"VGFR2"
"105",5,"NN5_xi",15.5212355212355,"VGFR2"
"106",4,"NN5_xi",19.2084942084942,"VGFR2"
"107",3,"NN5_xi",24.3243243243243,"VGFR2"
"108",2,"NN5_xi",32.6254826254826,"VGFR2"
"109",1,"NN5_xi",44.015444015444,"VGFR2"
"110",0.9,"NN5_xi",45.9227467811159,"VGFR2"
"111",0.8,"NN5_xi",47.3429951690821,"VGFR2"
"112",0.7,"NN5_xi",47.5138121546961,"VGFR2"
"113",0.6,"NN5_xi",47.741935483871,"VGFR2"
"114",0.5,"NN5_xi",48.4615384615385,"VGFR2"
"115",0.4,"NN5_xi",42.3076923076923,"VGFR2"
"116",0.3,"NN5_xi",47.4358974358974,"VGFR2"
"117",0.2,"NN5_xi",53.8461538461538,"VGFR2"
"118",0.1,"NN5_xi",50,"VGFR2"
"119",5,"NN5_xiii",15.5212355212355,"VGFR2"
"120",4,"NN5_xiii",19.015444015444,"VGFR2"
"121",3,"NN5_xiii",24.5817245817246,"VGFR2"
"122",2,"NN5_xiii",32.2393822393822,"VGFR2"
"123",1,"NN5_xiii",44.015444015444,"VGFR2"
"124",0.9,"NN5_xiii",43.7768240343348,"VGFR2"
"125",0.8,"NN5_xiii",42.0289855072464,"VGFR2"
"126",0.7,"NN5_xiii",41.9889502762431,"VGFR2"
"127",0.6,"NN5_xiii",40,"VGFR2"
"128",0.5,"NN5_xiii",43.0769230769231,"VGFR2"
"129",0.4,"NN5_xiii",46.1538461538462,"VGFR2"
"130",0.3,"NN5_xiii",43.5897435897436,"VGFR2"
"131",0.2,"NN5_xiii",44.2307692307692,"VGFR2"
"132",0.1,"NN5_xiii",57.6923076923077,"VGFR2"
"133",1,"NN1_xi",29.7297297297297,"VGFR2"
"134",0.9,"NN1_xi",32.618025751073,"VGFR2"
"135",0.8,"NN1_xi",36.231884057971,"VGFR2"
"136",0.7,"NN1_xi",41.4364640883978,"VGFR2"
"137",0.6,"NN1_xi",47.741935483871,"VGFR2"
"138",0.5,"NN1_xi",53.4883720930233,"VGFR2"
"139",0.4,"NN1_xi",59.2233009708738,"VGFR2"
"140",0.3,"NN1_xi",62.3376623376623,"VGFR2"
"141",0.2,"NN1_xi",64.7058823529412,"VGFR2"
"142",0.1,"NN1_xi",76,"VGFR2"
"143",1,"NN1_xiii",29.7297297297297,"VGFR2"
"144",0.9,"NN1_xiii",32.618025751073,"VGFR2"
"145",0.8,"NN1_xiii",36.231884057971,"VGFR2"
"146",0.7,"NN1_xiii",39.7790055248619,"VGFR2"
"147",0.6,"NN1_xiii",43.2258064516129,"VGFR2"
"148",0.5,"NN1_xiii",50.3875968992248,"VGFR2"
"149",0.4,"NN1_xiii",57.2815533980583,"VGFR2"
"150",0.3,"NN1_xiii",54.5454545454545,"VGFR2"
"151",0.2,"NN1_xiii",50.9803921568627,"VGFR2"
"152",0.1,"NN1_xiii",68,"VGFR2"
"153",100,"cML100",2.39382239382239,"VGFR2"
"154",90,"cML100",2.49249249249249,"VGFR2"
"155",80,"cML100",2.72683397683398,"VGFR2"
"156",70,"cML100",2.81853281853282,"VGFR2"
"157",60,"cML100",3.01801801801802,"VGFR2"
"158",50,"cML100",3.43629343629344,"VGFR2"
"159",40,"cML100",4.05405405405405,"VGFR2"
"160",30,"cML100",4.82625482625483,"VGFR2"
"161",20,"cML100",6.06177606177606,"VGFR2"
"162",10,"cML100",7.87644787644788,"VGFR2"
"163",9,"cML100",7.80780780780781,"VGFR2"
"164",8,"cML100",7.62548262548263,"VGFR2"
"165",7,"cML100",7.99779371207943,"VGFR2"
"166",6,"cML100",8.36550836550837,"VGFR2"
"167",5,"cML100",8.33976833976834,"VGFR2"
"168",4,"cML100",9.16988416988417,"VGFR2"
"169",3,"cML100",9.78120978120978,"VGFR2"
"170",2,"cML100",9.84555984555985,"VGFR2"
"171",1,"cML100",9.26640926640927,"VGFR2"
"172",0.9,"cML100",10.3004291845494,"VGFR2"
"173",0.8,"cML100",11.1111111111111,"VGFR2"
"174",0.7,"cML100",9.94475138121547,"VGFR2"
"175",0.6,"cML100",10.9677419354839,"VGFR2"
"176",0.5,"cML100",10,"VGFR2"
"177",0.4,"cML100",10.5769230769231,"VGFR2"
"178",0.3,"cML100",11.5384615384615,"VGFR2"
"179",0.2,"cML100",11.5384615384615,"VGFR2"
"180",0.1,"cML100",11.5384615384615,"VGFR2"
"181",5,"cML5",15.5212355212355,"VGFR2"
"182",4,"cML5",19.4015444015444,"VGFR2"
"183",3,"cML5",24.5817245817246,"VGFR2"
"184",2,"cML5",32.4324324324324,"VGFR2"
"185",1,"cML5",42.0849420849421,"VGFR2"
"186",0.9,"cML5",42.0600858369099,"VGFR2"
"187",0.8,"cML5",41.0628019323672,"VGFR2"
"188",0.7,"cML5",39.7790055248619,"VGFR2"
"189",0.6,"cML5",43.8709677419355,"VGFR2"
"190",0.5,"cML5",44.6153846153846,"VGFR2"
"191",0.4,"cML5",43.2692307692308,"VGFR2"
"192",0.3,"cML5",47.4358974358974,"VGFR2"
"193",0.2,"cML5",53.8461538461538,"VGFR2"
"194",0.1,"cML5",57.6923076923077,"VGFR2"
"195",1,"cML1",29.7297297297297,"VGFR2"
"196",0.9,"cML1",32.618025751073,"VGFR2"
"197",0.8,"cML1",36.231884057971,"VGFR2"
"198",0.7,"cML1",40.8839779005525,"VGFR2"
"199",0.6,"cML1",45.1612903225806,"VGFR2"
"200",0.5,"cML1",48.062015503876,"VGFR2"
"201",0.4,"cML1",50.4854368932039,"VGFR2"
"202",0.3,"cML1",54.5454545454545,"VGFR2"
"203",0.2,"cML1",58.8235294117647,"VGFR2"
